round,area,perbuilding,fixbuilding
0,1.847,0.436,0.319
1,1.424,0.351,0.312
2,1.419,0.355,0.313
3,1.431,0.364,0.320
4,1.412,0.360,0.312
5,1.438,0.351,0.311
6,1.437,0.355,0.318
7,1.442,0.360,0.320
8,1.441,0.360,0.317
9,1.413,0.365,0.311
10,1.447,0.349,0.310
11,1.470,0.349,0.310
12,1.438,0.366,0.313
13,1.454,0.350,0.318
14,1.436,0.349,0.312
15,1.404,0.358,0.315
16,1.437,0.369,0.317
17,1.432,0.360,0.311
18,1.438,0.343,0.318
19,1.464,0.360,0.312
20,1.443,0.347,0.307
21,1.438,0.361,0.315
22,1.439,0.367,0.318
23,1.451,0.350,0.313
24,1.482,0.356,0.310
25,1.452,0.351,0.315
26,1.454,0.372,0.315
27,1.422,0.362,0.315
28,1.408,0.351,0.314
29,1.463,0.351,0.312
30,1.445,0.367,0.312
31,1.397,0.358,0.316
32,1.418,0.362,0.313
33,1.456,0.355,0.322
34,1.434,0.361,0.311
35,1.474,0.357,0.320
36,1.440,0.359,0.313
37,1.441,0.365,0.315
38,1.430,0.354,0.311
39,1.425,0.362,0.312
40,1.442,0.362,0.309
41,1.451,0.359,0.318
42,1.459,0.355,0.315
43,1.451,0.350,0.315
44,1.443,0.360,0.314
45,1.454,0.374,0.313
46,1.456,0.369,0.312
47,1.453,0.368,0.314
48,1.454,0.356,0.311
49,1.443,0.368,0.311
50,1.454,0.351,0.317
51,1.470,0.354,0.318
52,1.456,0.358,0.313
53,1.457,0.355,0.315
54,1.466,0.355,0.316
55,1.429,0.350,0.312
56,1.445,0.353,0.316
57,1.387,0.355,0.312
58,1.433,0.357,0.315
59,1.469,0.353,0.314
60,1.453,0.349,0.317
61,1.456,0.368,0.312
62,1.452,0.366,0.313
63,1.453,0.357,0.313
64,1.469,0.366,0.312
65,1.468,0.362,0.311
66,1.448,0.365,0.311
67,1.467,0.356,0.312
68,1.502,0.356,0.313
69,1.461,0.353,0.316
70,1.483,0.370,0.316
71,1.479,0.364,0.316
72,1.458,0.354,0.316
73,1.440,0.348,0.312
74,1.473,0.368,0.313
75,1.458,0.360,0.318
76,1.450,0.351,0.313
77,1.459,0.362,0.313
78,1.464,0.365,0.313
79,1.451,0.353,0.313
80,1.458,0.357,0.320
81,1.453,0.348,0.311
82,1.464,0.363,0.312
83,1.436,0.359,0.314
84,1.481,0.355,0.307
85,1.463,0.354,0.314
86,1.483,0.365,0.311
87,1.460,0.368,0.320
88,1.463,0.363,0.309
89,1.464,0.366,0.316
90,1.459,0.365,0.314
91,1.437,0.366,0.311
92,1.475,0.353,0.319
93,1.472,0.364,0.313
94,1.452,0.357,0.314
95,1.398,0.373,0.310
96,1.453,0.348,0.315
97,1.438,0.357,0.315
98,1.458,0.360,0.316
99,1.463,0.364,0.318
100,1.471,0.370,0.317
101,1.490,0.380,0.314
102,1.467,0.361,0.311
103,1.471,0.354,0.318
104,1.449,0.354,0.315
105,1.470,0.370,0.316
106,1.488,0.350,0.317
107,1.450,0.350,0.317
108,1.499,0.370,0.317
109,1.413,0.365,0.311
110,1.443,0.362,0.312
111,1.418,0.353,0.315
112,1.460,0.365,0.318
113,1.494,0.370,0.318
114,1.438,0.350,0.313
115,1.449,0.356,0.313
116,1.498,0.368,0.314
117,1.460,0.347,0.314
118,1.477,0.361,0.312
119,1.451,0.356,0.319
120,1.479,0.350,0.308
121,1.464,0.375,0.316
122,1.447,0.353,0.311
123,1.479,0.369,0.315
124,1.451,0.376,0.315
125,1.437,0.357,0.311
126,1.443,0.367,0.316
127,1.466,0.363,0.316
128,1.443,0.369,0.316
129,1.425,0.354,0.312
130,1.471,0.366,0.316
131,1.454,0.370,0.311
132,1.455,0.360,0.313
133,1.468,0.343,0.312
134,1.463,0.357,0.318
135,1.464,0.370,0.318
136,1.459,0.358,0.311
137,1.470,0.355,0.313
138,1.456,0.352,0.312
139,1.450,0.367,0.312
140,1.443,0.367,0.316
141,1.454,0.351,0.315
142,1.453,0.356,0.312
143,1.468,0.374,0.318
144,1.481,0.356,0.311
145,1.473,0.372,0.309
146,1.491,0.351,0.313
147,1.459,0.362,0.311
148,1.455,0.354,0.318
149,1.475,0.361,0.312
150,1.453,0.361,0.314
151,1.454,0.358,0.312
152,1.434,0.365,0.317
153,1.450,0.355,0.310
154,1.459,0.357,0.314
155,1.451,0.368,0.317
156,1.441,0.359,0.313
157,1.445,0.350,0.311
158,1.483,0.355,0.314
159,1.470,0.372,0.313
160,1.469,0.353,0.309
161,1.483,0.354,0.311
162,1.471,0.367,0.311
163,1.461,0.351,0.315
164,1.465,0.356,0.311
165,1.479,0.357,0.319
166,1.462,0.355,0.312
167,1.452,0.369,0.318
168,1.447,0.368,0.313
169,1.501,0.361,0.318
170,1.482,0.355,0.312
171,1.461,0.351,0.316
172,1.469,0.359,0.315
173,1.443,0.357,0.314
174,1.504,0.354,0.313
175,1.429,0.372,0.309
176,1.461,0.356,0.316
177,1.467,0.368,0.311
178,1.444,0.359,0.311
179,1.433,0.367,0.320
180,1.450,0.369,0.320
181,1.438,0.369,0.314
182,1.440,0.349,0.314
183,1.475,0.372,0.315
184,1.469,0.357,0.317
185,1.467,0.372,0.306
186,1.467,0.357,0.314
187,1.444,0.356,0.313
188,1.438,0.368,0.310
189,1.463,0.363,0.314
190,1.450,0.352,0.309
191,1.451,0.363,0.316
192,1.398,0.356,0.313
193,1.472,0.357,0.313
194,1.448,0.350,0.315
195,1.442,0.352,0.315
196,1.464,0.350,0.315
197,1.455,0.361,0.316
198,1.462,0.368,0.316
199,1.457,0.350,0.311
200,1.465,0.377,0.313
201,1.454,0.372,0.314
202,1.472,0.352,0.316
203,1.463,0.368,0.312
204,1.467,0.372,0.314
205,1.476,0.370,0.315
206,1.473,0.357,0.315
207,1.468,0.355,0.317
208,1.472,0.371,0.312
209,1.468,0.361,0.323
210,1.461,0.357,0.314
211,1.474,0.355,0.315
212,1.470,0.355,0.312
213,1.465,0.371,0.313
214,1.453,0.366,0.316
215,1.470,0.367,0.312
216,1.455,0.369,0.310
217,1.467,0.353,0.315
218,1.460,0.371,0.312
219,1.485,0.353,0.318
220,1.460,0.359,0.311
221,1.443,0.357,0.313
222,1.457,0.354,0.314
223,1.502,0.353,0.312
224,1.472,0.358,0.313
225,1.465,0.374,0.310
226,1.460,0.355,0.312
227,1.470,0.370,0.314
228,1.452,0.352,0.318
229,1.460,0.356,0.313
230,1.453,0.362,0.314
231,1.482,0.360,0.313
232,1.488,0.361,0.317
233,1.461,0.356,0.317
234,1.449,0.360,0.318
235,1.433,0.347,0.312
236,1.450,0.357,0.316
237,1.471,0.365,0.315
238,1.472,0.355,0.313
239,1.468,0.366,0.312
240,1.449,0.357,0.317
241,1.468,0.347,0.317
242,1.444,0.368,0.314
243,1.475,0.357,0.312
244,1.437,0.367,0.315
245,1.484,0.369,0.315
246,1.470,0.356,0.307
247,1.470,0.364,0.315
248,1.491,0.349,0.314
249,1.479,0.359,0.316
250,1.496,0.374,0.314
251,1.474,0.369,0.317
252,1.451,0.369,0.312
253,1.455,0.362,0.312
254,1.449,0.374,0.317
255,1.469,0.354,0.310
256,1.442,0.350,0.317
257,1.476,0.346,0.315
258,1.454,0.360,0.315
259,1.470,0.359,0.315
260,1.477,0.359,0.313
261,1.432,0.348,0.311
262,1.457,0.350,0.314
263,1.457,0.364,0.317
264,1.471,0.358,0.313
265,1.454,0.367,0.313
266,1.468,0.359,0.309
267,1.451,0.358,0.314
268,1.454,0.359,0.315
269,1.452,0.368,0.315
270,1.460,0.363,0.312
271,1.404,0.349,0.311
272,1.479,0.369,0.311
273,1.490,0.349,0.316
274,1.458,0.370,0.316
275,1.468,0.354,0.315
276,1.479,0.366,0.317
277,1.459,0.375,0.313
278,1.467,0.367,0.316
279,1.458,0.352,0.315
280,1.469,0.370,0.317
281,1.468,0.366,0.312
282,1.437,0.350,0.311
283,1.456,0.376,0.314
284,1.463,0.352,0.310
