id,acc,pre,rec,f1s,iou
1536,0.966419,0.912214,0.975510,0.942801,0.891791
1537,0.977639,0.900000,1.000000,0.947368,0.900000
1538,0.971402,0.886447,1.000000,0.939806,0.886447
1539,0.934858,0.911628,0.903226,0.907407,0.830508
1540,0.915458,0.887500,0.907348,0.897314,0.813754
1541,0.919302,0.857639,0.918216,0.886894,0.796774
1542,0.919712,0.906863,0.872642,0.889423,0.800866
1543,0.891813,0.872973,0.894737,0.883721,0.791667
1544,0.941002,0.944681,0.906122,0.925000,0.860465
1545,0.956475,0.918699,0.949580,0.933884,0.875969
1546,0.896016,0.924242,0.832765,0.876122,0.779553
1547,0.905836,1.000000,0.811671,0.896047,0.811671
1548,0.980769,1.000000,0.961538,0.980392,0.961538
1549,0.463615,0.020000,0.006135,0.009390,0.004717
1550,0.795012,0.562162,0.885106,0.687603,0.523929
1551,0.912187,0.947368,0.847059,0.894410,0.808989
1552,0.994565,0.974790,1.000000,0.987234,0.974790
1553,0.979958,0.954386,0.985507,0.969697,0.941176
1554,0.951181,0.964856,0.926380,0.945227,0.896142
1555,0.563705,0.484000,0.396721,0.436036,0.278802
1556,0.969696,0.939597,0.975610,0.957265,0.918033
1557,0.954183,1.000000,0.908367,0.951983,0.908367
1558,0.673418,0.607692,0.431694,0.504792,0.337607
1559,0.968904,0.973684,0.948718,0.961039,0.925000
1560,0.909559,0.830769,0.900000,0.864000,0.760563
1561,0.909320,0.941818,0.851974,0.894646,0.809375
1562,0.944816,0.955102,0.910506,0.932271,0.873134
1563,0.936814,0.941176,0.915663,0.928244,0.866097
1564,0.979126,0.940367,0.980861,0.960187,0.923423
1565,0.985169,0.957055,1.000000,0.978056,0.957055
1566,0.978599,0.951807,0.979339,0.965377,0.933071
1567,0.484155,0.000000,0.000000,0.000000,0.000000
1568,0.975270,0.810651,1.000000,0.895425,0.810651
1569,0.717302,0.640187,0.575630,0.606195,0.434921
1570,0.976596,0.934524,1.000000,0.966154,0.934524
1571,0.962598,0.945455,0.939759,0.942598,0.891429
1572,0.780466,0.722222,0.722222,0.722222,0.565217
1573,0.980000,1.000000,0.960000,0.979592,0.960000
1574,0.957518,0.963855,0.924855,0.943953,0.893855
1575,0.791515,0.665455,0.753086,0.706564,0.546269
1576,1.000000,1.000000,1.000000,1.000000,1.000000
1577,0.984994,0.978182,0.981752,0.979964,0.960714
1578,0.908446,0.793651,0.909091,0.847458,0.735294
