id,acc,pre,rec,f1s,iou
0,0.988679,0.954887,1.000000,0.976923,0.954887
1,0.887032,0.832827,0.889610,0.860283,0.754821
2,0.711190,0.515957,0.570588,0.541899,0.371648
3,0.740978,0.811024,0.522843,0.635802,0.466063
4,0.880647,0.813187,0.817680,0.815427,0.688372
5,0.801476,0.951049,0.615385,0.747253,0.596491
6,0.897580,0.804469,0.852071,0.827586,0.705882
7,0.835089,0.819095,0.734234,0.774347,0.631783
8,0.799827,0.755814,0.722222,0.738636,0.585586
9,0.975914,0.862559,1.000000,0.926209,0.862559
10,0.926917,0.894198,0.916084,0.905009,0.826498
11,0.830085,0.712042,0.751381,0.731183,0.576271
12,0.783606,0.634518,0.686813,0.659631,0.492126
13,0.862974,0.518987,0.836735,0.640625,0.471264
14,0.814690,0.815315,0.707031,0.757322,0.609428
15,0.841725,0.878307,0.724891,0.794258,0.658730
16,0.927370,0.875706,0.890805,0.883191,0.790816
17,0.975679,0.873786,0.994475,0.930233,0.869565
18,0.957732,0.966667,0.925532,0.945652,0.896907
19,0.971917,0.900943,0.979487,0.938575,0.884259
20,0.741630,0.606557,0.603261,0.604905,0.433594
21,0.778223,0.797688,0.618834,0.696970,0.534884
22,0.905002,0.850340,0.844595,0.847458,0.735294
23,0.911848,0.845029,0.935275,0.887865,0.798343
24,0.932213,0.757764,0.924242,0.832765,0.713450
25,0.914182,0.780269,0.910995,0.840580,0.725000
26,0.945578,0.834821,0.954082,0.890476,0.802575
27,0.757151,0.496063,0.724138,0.588785,0.417219
28,0.919585,0.929231,0.890855,0.909639,0.834254
29,0.824529,0.763006,0.717391,0.739496,0.586667
30,0.939426,0.855372,0.940909,0.896104,0.811765
31,0.879562,0.790831,0.910891,0.846626,0.734043
32,0.834603,0.870130,0.728261,0.792899,0.656863
33,0.807359,0.650538,0.720238,0.683616,0.519313
34,0.705496,0.507772,0.566474,0.535519,0.365672
35,0.745892,0.707865,0.583333,0.639594,0.470149
36,0.972387,0.955975,0.955975,0.955975,0.915663
37,0.793106,0.714932,0.699115,0.706935,0.546713
38,0.952529,0.866972,0.954545,0.908654,0.832599
39,0.691955,0.597510,0.566929,0.581818,0.410256
40,0.934166,0.782609,0.941860,0.854881,0.746544
41,0.950418,0.936893,0.923445,0.930120,0.869369
42,0.889682,0.962441,0.794574,0.870488,0.770677
43,0.781181,0.655738,0.666667,0.661157,0.493827
44,0.951723,0.945783,0.918129,0.931751,0.872222
45,0.698566,0.536585,0.520710,0.528529,0.359184
46,0.963690,0.879310,0.976077,0.925170,0.860759
47,0.817069,0.718631,0.771429,0.744094,0.592476
48,0.806104,0.848101,0.653659,0.738292,0.585153
49,0.934674,0.826087,0.929348,0.874680,0.777273
50,0.942014,0.934010,0.906404,0.920000,0.851852
51,0.902938,0.752252,0.897849,0.818627,0.692946
52,0.767298,0.603524,0.688442,0.643192,0.474048
53,0.863432,0.745981,0.878788,0.806957,0.676385
54,0.527872,0.443804,0.475309,0.459016,0.297872
55,0.948783,0.944444,0.918919,0.931507,0.871795
56,0.953055,0.844749,0.963542,0.900243,0.818584
57,0.949889,0.879828,0.949074,0.913140,0.840164
58,0.867740,0.929293,0.784091,0.850539,0.739946
59,0.573949,0.608696,0.195349,0.295775,0.173554
60,0.867743,0.789474,0.794118,0.791789,0.655340
61,0.848296,0.797101,0.848765,0.822123,0.697970
62,0.703801,0.557214,0.560000,0.558603,0.387543
63,0.787267,0.886364,0.600000,0.715596,0.557143
64,0.873691,0.884817,0.786047,0.832512,0.713080
65,0.933604,0.889423,0.906863,0.898058,0.814978
66,0.727941,0.663492,0.678571,0.670947,0.504831
67,0.944182,0.846561,0.935673,0.888889,0.800000
68,0.925506,0.964029,0.858974,0.908475,0.832298
69,0.933299,0.902655,0.938650,0.920301,0.852368
70,0.873675,0.764706,0.855263,0.807453,0.677083
71,0.866532,0.971530,0.752066,0.847826,0.735849
72,0.849709,0.791667,0.767677,0.779487,0.638655
73,0.487912,0.171717,0.232877,0.197674,0.109677
74,0.615307,0.367089,0.574257,0.447876,0.288557
75,0.862877,0.883721,0.760000,0.817204,0.690909
76,0.669854,0.520833,0.497512,0.508906,0.341297
77,0.932608,0.657778,0.986667,0.789333,0.651982
78,0.946352,0.944637,0.925424,0.934932,0.877814
79,0.956049,0.927602,0.940367,0.933941,0.876068
80,0.875269,0.577982,0.893617,0.701950,0.540773
81,0.851372,0.755906,0.750000,0.752941,0.603774
82,0.793920,0.794466,0.693103,0.740331,0.587719
83,0.850502,0.876623,0.787172,0.829493,0.708661
84,0.771127,0.666667,0.832298,0.740331,0.587719
85,0.925883,0.884298,0.902954,0.893528,0.807547
86,0.937724,0.853659,0.972222,0.909091,0.833333
87,0.946038,0.840989,0.975410,0.903226,0.823529
88,0.978139,0.974619,0.964824,0.969697,0.941176
89,0.900280,0.762943,0.975610,0.856269,0.748663
90,0.859071,0.846154,0.766169,0.804178,0.672489
91,0.841413,0.795652,0.768908,0.782051,0.642105
92,0.867140,0.811189,0.840580,0.825623,0.703030
93,0.725180,0.570470,0.551948,0.561056,0.389908
94,0.905625,0.831818,0.875598,0.853147,0.743902
95,0.951786,0.958140,0.919643,0.938497,0.884120
96,0.941428,0.871921,0.926702,0.898477,0.815668
97,0.635849,0.512097,0.500000,0.505976,0.338667
98,0.824757,0.712821,0.743316,0.727749,0.572016
99,0.830525,0.783333,0.758065,0.770492,0.626667
100,0.945513,0.837989,0.937500,0.884956,0.793651
101,0.663724,0.927835,0.340909,0.498615,0.332103
102,0.652286,0.653333,0.345070,0.451613,0.291667
103,0.714840,0.615672,0.627376,0.621469,0.450820
104,0.928546,0.864662,0.884615,0.874525,0.777027
105,0.653960,0.813725,0.342975,0.482558,0.318008
106,0.820466,0.826087,0.768786,0.796407,0.661692
107,0.644778,0.463542,0.463542,0.463542,0.301695
108,0.923017,0.857759,0.904545,0.880531,0.786561
109,0.889986,0.777778,0.899598,0.834264,0.715655
110,0.713007,0.569832,0.554348,0.561983,0.390805
111,0.524619,0.252033,0.196203,0.220641,0.124000
112,0.525820,0.420118,0.462541,0.440310,0.282306
113,0.912658,0.915000,0.855140,0.884058,0.792208
114,0.708910,0.595238,0.531915,0.561798,0.390625
115,0.739203,0.650000,0.571429,0.608187,0.436975
116,0.932220,0.811111,0.956332,0.877756,0.782143
117,0.974960,0.931193,0.975962,0.953052,0.910314
118,0.684264,0.440299,0.621053,0.515284,0.347059
119,0.922179,0.834646,0.876033,0.854839,0.746479
120,0.654336,0.712121,0.338129,0.458537,0.297468
121,0.958607,0.897338,0.967213,0.930966,0.870849
122,0.947588,0.935135,0.915344,0.925134,0.860697
123,0.838375,0.785425,0.776000,0.780684,0.640264
124,0.943140,0.932692,0.910798,0.921615,0.854626
125,0.858814,0.766129,0.822511,0.793319,0.657439
126,0.837529,0.701493,0.774725,0.736292,0.582645
127,0.707198,0.532847,0.514085,0.523297,0.354369
128,0.962373,0.994737,0.926471,0.959391,0.921951
129,0.925217,0.921569,0.878505,0.899522,0.817391
130,0.752461,0.597744,0.697368,0.643725,0.474627
131,0.970644,0.891986,1.000000,0.942910,0.891986
132,0.874199,0.693467,0.846626,0.762431,0.616071
133,0.784978,0.444444,0.710280,0.546763,0.376238
134,0.823147,0.637931,0.787234,0.704762,0.544118
135,0.863216,0.733333,0.796053,0.763407,0.617347
136,0.903397,0.732938,0.976285,0.837288,0.720117
