id,acc,pre,rec,f1s,iou
0,0.964286,1.000000,0.928571,0.962963,0.928571
1,0.916892,0.832618,0.902326,0.866071,0.763780
2,0.982614,0.996633,0.967320,0.981758,0.964169
3,0.988189,0.958333,1.000000,0.978723,0.958333
4,0.978102,1.000000,0.956204,0.977612,0.956204
5,1.000000,1.000000,1.000000,1.000000,1.000000
6,0.928164,0.903346,0.906716,0.905028,0.826531
7,0.944156,0.909091,0.933852,0.921305,0.854093
8,0.936111,0.872576,0.972222,0.919708,0.851351
9,0.874438,0.739130,0.879310,0.803150,0.671053
10,0.951087,0.878049,1.000000,0.935065,0.878049
11,0.895926,0.843750,0.880435,0.861702,0.757009
12,0.970046,0.974729,0.954064,0.964286,0.931034
13,0.976891,0.933333,1.000000,0.965517,0.933333
14,0.958493,0.995370,0.918803,0.955556,0.914894
15,1.000000,1.000000,1.000000,1.000000,1.000000
16,0.919968,0.900000,0.923077,0.911392,0.837209
17,0.957514,0.925795,0.956204,0.940754,0.888136
18,0.817227,0.807692,0.750000,0.777778,0.636364
19,0.948966,0.850202,0.963303,0.903226,0.823529
20,0.917693,0.802721,0.944000,0.867647,0.766234
21,0.917124,0.912442,0.868421,0.889888,0.801619
22,0.953634,0.909091,0.952381,0.930233,0.869565
23,1.000000,1.000000,1.000000,1.000000,1.000000
24,0.823254,0.864865,0.757895,0.807854,0.677647
25,0.974026,0.933852,0.979592,0.956175,0.916031
26,0.860283,0.828283,0.825503,0.826891,0.704871
27,0.992453,1.000000,0.984906,0.992395,0.984906
28,0.818333,0.660819,0.859316,0.747107,0.596306
29,0.874709,0.881517,0.794872,0.835955,0.718147
30,0.979757,1.000000,0.959514,0.979339,0.959514
31,0.937761,0.899225,0.924303,0.911591,0.837545
32,0.961420,1.000000,0.922840,0.959872,0.922840
33,0.889631,0.830128,0.886986,0.857616,0.750725
34,0.975442,0.916667,1.000000,0.956522,0.916667
35,0.910164,0.935606,0.854671,0.893309,0.807190
36,0.985294,0.905263,1.000000,0.950276,0.905263
37,0.954602,0.945652,0.938849,0.942238,0.890785
38,0.849686,0.873016,0.763889,0.814815,0.687500
