round,area,perbuilding,fixbuilding
0,1.845,0.451,0.316
1,1.434,0.348,0.311
2,1.435,0.352,0.313
3,1.421,0.360,0.311
4,1.375,0.351,0.308
5,1.427,0.355,0.313
6,1.446,0.355,0.314
7,1.374,0.351,0.316
8,1.440,0.349,0.308
9,1.372,0.351,0.315
10,1.396,0.341,0.314
11,1.393,0.357,0.320
12,1.474,0.354,0.316
13,1.451,0.354,0.313
14,1.460,0.350,0.315
15,1.381,0.349,0.320
16,1.452,0.356,0.311
17,1.384,0.351,0.309
18,1.387,0.345,0.316
19,1.454,0.357,0.312
20,1.405,0.343,0.314
21,1.343,0.367,0.315
22,1.398,0.364,0.309
23,1.389,0.354,0.311
24,1.400,0.356,0.315
25,1.415,0.347,0.312
26,1.414,0.365,0.311
27,1.456,0.359,0.316
28,1.411,0.350,0.313
29,1.460,0.353,0.311
30,1.388,0.354,0.312
31,1.385,0.370,0.309
32,1.387,0.370,0.318
33,1.466,0.344,0.313
34,1.398,0.372,0.311
35,1.460,0.366,0.313
36,1.462,0.353,0.310
37,1.384,0.349,0.311
38,1.401,0.353,0.314
39,1.404,0.353,0.313
40,1.462,0.346,0.315
41,1.448,0.351,0.310
42,1.404,0.350,0.312
43,1.376,0.358,0.313
44,1.402,0.344,0.314
45,1.415,0.364,0.316
46,1.414,0.364,0.309
47,1.411,0.363,0.313
48,1.464,0.350,0.312
49,1.382,0.354,0.317
50,1.399,0.352,0.309
51,1.343,0.349,0.313
52,1.404,0.374,0.316
53,1.413,0.353,0.313
54,1.408,0.357,0.315
55,1.403,0.354,0.313
56,1.394,0.351,0.314
57,1.403,0.346,0.314
58,1.474,0.349,0.310
59,1.431,0.348,0.321
60,1.464,0.346,0.316
61,1.413,0.349,0.316
62,1.423,0.350,0.311
63,1.416,0.349,0.314
64,1.399,0.350,0.318
65,1.469,0.366,0.312
66,1.418,0.358,0.315
67,1.435,0.352,0.314
68,1.469,0.355,0.313
69,1.387,0.353,0.316
70,1.429,0.354,0.309
71,1.402,0.373,0.314
72,1.454,0.353,0.317
73,1.408,0.354,0.313
74,1.408,0.360,0.309
75,1.412,0.360,0.312
76,1.395,0.350,0.313
77,1.415,0.353,0.319
78,1.411,0.365,0.311
79,1.400,0.350,0.311
80,1.431,0.352,0.317
81,1.492,0.347,0.316
82,1.403,0.371,0.320
83,1.463,0.356,0.314
84,1.444,0.349,0.319
85,1.410,0.352,0.314
86,1.448,0.352,0.310
87,1.427,0.361,0.313
88,1.449,0.353,0.313
89,1.479,0.362,0.310
90,1.453,0.368,0.316
91,1.417,0.361,0.312
92,1.387,0.358,0.315
93,1.492,0.356,0.311
94,1.409,0.360,0.313
95,1.459,0.362,0.312
96,1.470,0.349,0.315
97,1.410,0.355,0.315
98,1.397,0.356,0.314
99,1.425,0.355,0.315
100,1.412,0.386,0.316
101,1.452,0.358,0.310
102,1.464,0.365,0.312
103,1.398,0.358,0.310
104,1.417,0.355,0.313
105,1.407,0.359,0.311
106,1.412,0.350,0.314
107,1.408,0.349,0.315
108,1.412,0.362,0.312
109,1.416,0.357,0.314
110,1.413,0.367,0.314
111,1.399,0.348,0.319
112,1.428,0.355,0.312
113,1.399,0.362,0.316
114,1.404,0.355,0.314
115,1.391,0.349,0.315
116,1.447,0.360,0.313
117,1.347,0.348,0.313
118,1.429,0.368,0.313
119,1.392,0.361,0.316
120,1.424,0.353,0.314
121,1.458,0.362,0.312
122,1.416,0.353,0.312
123,1.411,0.369,0.315
124,1.400,0.357,0.315
125,1.383,0.350,0.314
126,1.415,0.371,0.313
127,1.405,0.357,0.311
128,1.394,0.359,0.311
129,1.416,0.357,0.317
130,1.400,0.368,0.312
131,1.416,0.360,0.312
132,1.393,0.356,0.312
133,1.408,0.348,0.314
134,1.433,0.348,0.314
135,1.403,0.349,0.309
136,1.413,0.357,0.314
137,1.408,0.343,0.313
138,1.382,0.359,0.315
139,1.415,0.366,0.311
140,1.422,0.359,0.313
141,1.398,0.346,0.316
142,1.400,0.348,0.320
143,1.438,0.360,0.312
144,1.436,0.361,0.310
145,1.413,0.365,0.316
146,1.430,0.354,0.314
147,1.479,0.351,0.310
148,1.486,0.356,0.320
149,1.460,0.349,0.314
150,1.439,0.353,0.312
151,1.407,0.348,0.319
152,1.465,0.355,0.313
153,1.395,0.358,0.316
154,1.432,0.353,0.316
155,1.351,0.353,0.319
156,1.410,0.358,0.313
157,1.481,0.355,0.316
158,1.436,0.354,0.313
159,1.416,0.366,0.312
160,1.406,0.351,0.313
161,1.397,0.354,0.314
162,1.404,0.378,0.315
163,1.446,0.351,0.313
164,1.392,0.349,0.312
165,1.346,0.351,0.317
166,1.435,0.346,0.315
167,1.482,0.364,0.319
168,1.387,0.375,0.313
169,1.404,0.355,0.313
170,1.401,0.355,0.312
171,1.395,0.360,0.312
172,1.448,0.354,0.309
173,1.433,0.358,0.315
174,1.440,0.354,0.311
175,1.431,0.353,0.313
176,1.448,0.356,0.318
177,1.414,0.351,0.314
178,1.466,0.352,0.311
179,1.506,0.370,0.311
180,1.405,0.352,0.312
181,1.472,0.363,0.316
182,1.410,0.353,0.313
183,1.413,0.374,0.312
184,1.414,0.352,0.310
185,1.419,0.358,0.312
186,1.341,0.350,0.314
187,1.418,0.360,0.313
188,1.399,0.361,0.313
189,1.425,0.363,0.316
190,1.425,0.344,0.316
191,1.458,0.352,0.313
192,1.417,0.351,0.310
193,1.411,0.358,0.313
194,1.403,0.360,0.316
195,1.413,0.358,0.316
196,1.414,0.347,0.315
197,1.444,0.358,0.317
198,1.420,0.371,0.313
199,1.406,0.351,0.313
200,1.411,0.371,0.314
201,1.416,0.371,0.322
202,1.427,0.350,0.317
203,1.420,0.371,0.308
204,1.414,0.355,0.319
205,1.421,0.356,0.319
206,1.418,0.361,0.316
207,1.419,0.360,0.312
208,1.418,0.373,0.312
209,1.407,0.354,0.314
210,1.413,0.354,0.314
211,1.418,0.359,0.314
212,1.412,0.369,0.318
213,1.361,0.371,0.317
214,1.486,0.369,0.316
215,1.398,0.359,0.312
216,1.405,0.353,0.314
217,1.405,0.349,0.319
218,1.396,0.368,0.317
219,1.428,0.351,0.317
220,1.431,0.377,0.313
221,1.409,0.347,0.313
222,1.428,0.350,0.312
223,1.435,0.346,0.314
224,1.419,0.381,0.312
225,1.351,0.359,0.315
226,1.430,0.358,0.310
227,1.429,0.371,0.313
228,1.418,0.357,0.317
229,1.493,0.349,0.314
230,1.430,0.376,0.320
231,1.461,0.351,0.315
232,1.411,0.353,0.315
233,1.414,0.360,0.314
234,1.435,0.353,0.316
235,1.441,0.351,0.315
236,1.421,0.346,0.319
237,1.473,0.357,0.316
238,1.414,0.351,0.320
239,1.468,0.356,0.311
240,1.389,0.354,0.312
241,1.404,0.348,0.319
242,1.426,0.360,0.317
243,1.468,0.355,0.320
244,1.404,0.369,0.314
245,1.378,0.379,0.315
246,1.429,0.372,0.311
247,1.411,0.366,0.312
248,1.415,0.344,0.310
249,1.390,0.354,0.317
250,1.409,0.372,0.319
251,1.427,0.357,0.313
252,1.464,0.352,0.314
253,1.404,0.360,0.318
254,1.416,0.352,0.315
255,1.367,0.355,0.312
256,1.400,0.355,0.316
257,1.420,0.350,0.320
258,1.473,0.377,0.316
259,1.441,0.371,0.316
260,1.406,0.352,0.311
261,1.428,0.349,0.313
262,1.403,0.359,0.317
263,1.377,0.354,0.314
264,1.408,0.374,0.316
265,1.413,0.376,0.317
266,1.423,0.371,0.311
267,1.412,0.351,0.316
268,1.488,0.351,0.320
269,1.487,0.372,0.313
270,1.412,0.367,0.316
271,1.410,0.358,0.313
272,1.402,0.366,0.309
273,1.424,0.356,0.319
274,1.423,0.357,0.317
275,1.421,0.349,0.313
276,1.417,0.368,0.312
277,1.410,0.367,0.318
278,1.428,0.368,0.314
279,1.460,0.359,0.312
280,1.387,0.374,0.313
281,1.407,0.365,0.320
282,1.452,0.353,0.320
283,1.449,0.368,0.314
284,1.427,0.347,0.311
285,1.416,0.348,0.316
286,1.414,0.370,0.316
287,1.437,0.358,0.319
288,1.421,0.372,0.317
289,1.420,0.356,0.312
290,1.410,0.353,0.316
291,1.393,0.369,0.318
292,1.426,0.348,0.312
293,1.392,0.356,0.315
294,1.413,0.366,0.314
295,1.417,0.359,0.314
296,1.436,0.357,0.311
297,1.426,0.363,0.315
298,1.421,0.377,0.315
299,1.430,0.356,0.317
