round,area,perbuilding,fixbuilding
0,1.837,0.437,0.316
1,1.402,0.361,0.317
2,1.356,0.376,0.313
3,1.392,0.361,0.310
4,1.311,0.351,0.310
5,1.396,0.370,0.312
6,1.462,0.346,0.317
7,1.446,0.359,0.310
8,1.391,0.362,0.312
9,1.443,0.362,0.315
10,1.394,0.348,0.315
11,1.428,0.359,0.309
12,1.375,0.346,0.310
13,1.396,0.359,0.309
14,1.387,0.350,0.312
15,1.447,0.365,0.315
16,1.453,0.353,0.308
17,1.392,0.350,0.312
18,1.433,0.355,0.309
19,1.393,0.349,0.309
20,1.397,0.359,0.312
21,1.388,0.354,0.310
22,1.395,0.372,0.305
23,1.384,0.363,0.310
24,1.387,0.367,0.313
25,1.413,0.364,0.318
26,1.366,0.349,0.314
27,1.405,0.353,0.314
28,1.422,0.351,0.311
29,1.381,0.366,0.314
30,1.447,0.347,0.310
31,1.387,0.350,0.310
32,1.404,0.368,0.309
33,1.407,0.356,0.311
34,1.409,0.358,0.312
35,1.400,0.351,0.310
36,1.377,0.363,0.316
37,1.333,0.349,0.317
38,1.431,0.368,0.309
39,1.444,0.368,0.317
40,1.433,0.347,0.312
41,1.450,0.359,0.310
42,1.387,0.374,0.306
43,1.463,0.351,0.304
44,1.395,0.353,0.314
45,1.395,0.372,0.315
46,1.420,0.346,0.314
47,1.440,0.351,0.317
48,1.450,0.347,0.312
49,1.401,0.355,0.316
50,1.373,0.352,0.308
51,1.426,0.354,0.311
52,1.394,0.368,0.307
53,1.403,0.351,0.310
54,1.391,0.353,0.311
55,1.398,0.366,0.314
56,1.447,0.372,0.316
57,1.460,0.363,0.310
58,1.413,0.353,0.308
59,1.414,0.362,0.310
60,1.411,0.361,0.306
61,1.401,0.343,0.312
62,1.419,0.354,0.307
63,1.399,0.365,0.318
64,1.397,0.361,0.319
65,1.445,0.365,0.312
66,1.418,0.371,0.312
67,1.401,0.355,0.314
68,1.394,0.354,0.313
69,1.413,0.351,0.312
70,1.383,0.348,0.317
71,1.432,0.349,0.312
72,1.429,0.349,0.313
73,1.467,0.349,0.308
74,1.416,0.368,0.307
75,1.361,0.354,0.310
76,1.350,0.360,0.317
77,1.497,0.366,0.315
78,1.468,0.369,0.311
79,1.453,0.363,0.312
80,1.415,0.358,0.313
81,1.417,0.345,0.311
82,1.388,0.363,0.312
83,1.334,0.353,0.312
84,1.391,0.363,0.309
85,1.401,0.349,0.316
86,1.401,0.364,0.314
87,1.404,0.355,0.313
88,1.418,0.348,0.310
89,1.380,0.356,0.314
90,1.450,0.367,0.312
91,1.397,0.360,0.307
92,1.393,0.351,0.310
93,1.398,0.356,0.313
94,1.444,0.356,0.313
95,1.404,0.350,0.314
96,1.401,0.350,0.312
97,1.436,0.366,0.315
98,1.467,0.360,0.310
99,1.406,0.364,0.316
100,1.449,0.367,0.312
101,1.388,0.349,0.309
102,1.391,0.348,0.312
103,1.454,0.354,0.312
104,1.399,0.359,0.309
105,1.411,0.361,0.312
