id,acc,pre,rec,f1s,iou
0,0.986220,1.000000,0.972441,0.986028,0.972441
1,0.915871,0.868502,0.922078,0.894488,0.809117
2,0.759063,0.556650,0.664706,0.605898,0.434615
3,0.837148,0.685590,0.796954,0.737089,0.583643
4,0.885068,0.823204,0.823204,0.823204,0.699531
5,0.821054,0.793970,0.714932,0.752381,0.603053
6,0.922062,0.817204,0.899408,0.856338,0.748768
7,0.867790,0.757085,0.842342,0.797441,0.663121
8,0.631366,0.688889,0.344444,0.459259,0.298077
9,0.961411,0.896907,0.956044,0.925532,0.861386
10,0.861537,0.779180,0.863636,0.819237,0.693820
11,0.845002,0.713568,0.784530,0.747368,0.596639
12,0.742908,0.589474,0.615385,0.602151,0.430769
13,0.814140,0.477124,0.744898,0.581673,0.410112
14,0.798769,0.844221,0.656250,0.738462,0.585366
15,0.886050,0.924242,0.799127,0.857143,0.750000
16,0.947070,0.894444,0.925287,0.909605,0.834197
17,0.972092,0.911917,0.972376,0.941176,0.888889
18,0.962498,0.931937,0.946809,0.939314,0.885572
19,0.928466,0.801762,0.933333,0.862559,0.758333
20,0.759638,0.593137,0.657609,0.623711,0.453184
21,0.756888,0.672986,0.636771,0.654378,0.486301
22,0.874363,0.864662,0.777027,0.818505,0.692771
23,0.939608,0.876833,0.967638,0.920000,0.851852
24,0.899470,0.672414,0.886364,0.764706,0.619048
25,0.936281,0.858537,0.921466,0.888889,0.800000
26,0.968537,0.873303,0.984694,0.925659,0.861607
27,0.762069,0.508065,0.724138,0.597156,0.425676
28,0.950416,0.969040,0.923304,0.945619,0.896848
29,0.732609,0.634146,0.565217,0.597701,0.426230
30,0.970793,0.934211,0.968182,0.950893,0.906383
31,0.835203,0.826855,0.772277,0.798635,0.664773
32,0.832321,0.849372,0.735507,0.788350,0.650641
33,0.692641,0.461165,0.565476,0.508021,0.340502
34,0.739255,0.563830,0.612717,0.587258,0.415686
35,0.824628,0.697095,0.777778,0.735230,0.581315
36,0.988800,0.919075,1.000000,0.957831,0.919075
37,0.794311,0.687764,0.721239,0.704104,0.543333
38,0.982116,0.916279,0.994949,0.953995,0.912037
39,0.728376,0.674107,0.594488,0.631799,0.461774
40,0.919536,0.803109,0.901163,0.849315,0.738095
41,0.871920,0.773333,0.832536,0.801843,0.669231
42,0.892497,0.985507,0.790698,0.877419,0.781609
43,0.883848,0.778351,0.838889,0.807487,0.677130
44,0.962604,0.941520,0.941520,0.941520,0.889503
45,0.685265,0.481081,0.526627,0.502825,0.335849
46,0.953031,0.903670,0.942584,0.922717,0.856522
47,0.780334,0.674330,0.718367,0.695652,0.533333
48,0.919980,0.826667,0.907317,0.865116,0.762295
49,0.929928,0.752137,0.956522,0.842105,0.727273
50,0.931302,0.927835,0.886700,0.906801,0.829493
51,0.902938,0.752252,0.897849,0.818627,0.692946
52,0.728055,0.589109,0.597990,0.593516,0.421986
53,0.731410,0.624113,0.666667,0.644689,0.475676
54,0.541264,0.461538,0.462963,0.462250,0.300601
55,0.910303,0.848485,0.882883,0.865342,0.762646
56,0.976351,0.872727,1.000000,0.932039,0.872727
57,0.898637,0.855814,0.851852,0.853828,0.744939
58,0.899411,0.915663,0.863636,0.888889,0.800000
59,0.834050,0.806122,0.734884,0.768856,0.624506
60,0.734576,0.708661,0.529412,0.606061,0.434783
61,0.810199,0.840580,0.716049,0.773333,0.630435
62,0.703801,0.557214,0.560000,0.558603,0.387543
63,0.760259,0.630000,0.646154,0.637975,0.468401
64,0.827233,0.912500,0.679070,0.778667,0.637555
65,0.922938,0.882927,0.887255,0.885086,0.793860
66,0.830882,0.897959,0.714286,0.795660,0.660661
67,0.963019,0.843434,0.976608,0.905149,0.826733
68,0.966397,0.936709,0.948718,0.942675,0.891566
69,0.937639,0.931889,0.923313,0.927581,0.864943
70,0.873880,0.940860,0.767544,0.845411,0.732218
71,0.550768,0.685393,0.168044,0.269912,0.156010
72,0.859025,0.814815,0.777778,0.795866,0.660944
73,0.428995,0.101010,0.136986,0.116279,0.061728
74,0.684980,0.444444,0.653465,0.529058,0.359673
75,0.876438,0.939024,0.770000,0.846154,0.733333
76,0.685462,0.590361,0.487562,0.534060,0.364312
77,0.955300,0.769634,0.980000,0.862170,0.757732
78,0.949686,0.915309,0.952542,0.933555,0.875389
79,0.956049,0.927602,0.940367,0.933941,0.876068
80,0.816105,0.556701,0.765957,0.644776,0.475771
81,0.498857,0.153846,0.031250,0.051948,0.026667
82,0.839125,0.852140,0.755172,0.800731,0.667683
83,0.787010,0.771084,0.746356,0.758519,0.610979
84,0.564888,0.505792,0.406832,0.450947,0.291111
85,0.907809,0.883621,0.864979,0.874200,0.776515
86,0.977095,0.931818,0.996528,0.963087,0.928803
87,0.960124,0.881919,0.979508,0.928155,0.865942
88,1.000000,1.000000,1.000000,1.000000,1.000000
89,0.914708,0.811209,0.958188,0.878594,0.783476
90,0.916711,0.929730,0.855721,0.891192,0.803738
91,0.820944,0.774336,0.735294,0.754310,0.605536
92,0.936323,0.943182,0.902174,0.922222,0.855670
93,0.769336,0.713178,0.597403,0.650177,0.481675
94,0.934113,0.868778,0.918660,0.893023,0.806723
95,0.930357,0.897778,0.901786,0.899777,0.817814
96,0.949193,0.886139,0.937173,0.910941,0.836449
97,0.623095,0.497942,0.476378,0.486922,0.321809
98,0.831748,0.675926,0.780749,0.724566,0.568093
99,0.856584,0.800000,0.806452,0.803213,0.671141
100,0.945513,0.837989,0.937500,0.884956,0.793651
101,0.866579,0.793594,0.844697,0.818349,0.692547
102,0.840694,0.571429,0.816901,0.672464,0.506550
103,0.697657,0.590406,0.608365,0.599251,0.427807
104,0.946224,0.888060,0.915385,0.901515,0.820690
105,0.891815,0.763889,0.909091,0.830189,0.709677
106,0.788674,0.813333,0.705202,0.755418,0.606965
107,0.703618,0.534314,0.567708,0.550505,0.379791
108,0.915490,0.769517,0.940909,0.846626,0.734043
109,0.901933,0.753994,0.947791,0.839858,0.723926
110,0.755906,0.566820,0.668478,0.613466,0.442446
111,0.466585,0.145695,0.139241,0.142395,0.076655
112,0.399129,0.045872,0.016287,0.024038,0.012165
113,0.946540,0.937799,0.915888,0.926714,0.863436
114,0.633782,0.435897,0.452128,0.443864,0.285235
115,0.743419,0.575758,0.626374,0.600000,0.428571
116,0.894921,0.948718,0.807860,0.872642,0.774059
117,0.950654,0.964467,0.913462,0.938272,0.883721
118,0.865169,0.823204,0.784211,0.803235,0.671171
119,0.922965,0.920354,0.859504,0.888889,0.800000
120,0.515878,0.368421,0.050360,0.088608,0.046358
121,0.971964,0.933333,0.975410,0.953908,0.911877
122,0.953003,0.921466,0.931217,0.926316,0.862745
123,0.806457,0.726562,0.744000,0.735178,0.581250
124,0.916759,0.902439,0.868545,0.885167,0.793991
125,0.912242,0.832000,0.900433,0.864865,0.761905
126,0.838104,0.714286,0.769231,0.740741,0.588235
127,0.747181,0.511494,0.626761,0.563291,0.392070
128,0.983570,0.990000,0.970588,0.980198,0.961165
129,0.917913,0.907317,0.869159,0.887828,0.798283
130,0.759608,0.581315,0.736842,0.649903,0.481375
131,0.963423,0.931818,0.960938,0.946154,0.897810
132,0.893369,0.772222,0.852761,0.810496,0.681373
133,0.611867,0.385542,0.299065,0.336842,0.202532
134,0.805369,0.629464,0.750000,0.684466,0.520295
135,0.877415,0.713483,0.835526,0.769697,0.625616
136,0.885517,0.729231,0.936759,0.820069,0.695015
137,0.910185,0.908163,0.851675,0.879012,0.784141
138,0.952580,0.914591,0.951852,0.932849,0.874150
139,0.347656,0.000000,0.000000,0.000000,0.000000
140,0.975538,0.916107,1.000000,0.956217,0.916107
141,0.761549,0.619289,0.648936,0.633766,0.463878
142,0.977969,0.921296,0.985149,0.952153,0.908676
143,0.905154,0.650442,0.936306,0.767624,0.622881
144,0.903867,0.821549,0.910448,0.863717,0.760125
145,0.575074,0.443686,0.471014,0.456942,0.296128
146,0.917107,0.919255,0.855491,0.886228,0.795699
147,0.771185,0.677249,0.646465,0.661499,0.494208
148,0.821857,0.819095,0.708696,0.759907,0.612782
149,0.795727,0.940000,0.607759,0.738220,0.585062
150,0.696111,0.880503,0.433437,0.580913,0.409357
151,0.872232,0.750865,0.878543,0.809701,0.680251
152,0.805137,0.695652,0.703297,0.699454,0.537815
153,0.790395,0.593939,0.685315,0.636364,0.466667
154,0.970584,0.887097,0.990991,0.936170,0.880000
155,0.958737,0.849741,0.964706,0.903581,0.824121
156,0.834670,0.942675,0.685185,0.793566,0.657778
157,0.960420,0.905473,0.952880,0.928571,0.866667
158,0.645670,0.605422,0.587719,0.596439,0.424947
159,0.912119,0.780374,0.902703,0.837093,0.719828
160,0.950969,0.936047,0.920000,0.927954,0.865591
161,0.919854,0.822134,0.920354,0.868476,0.767528
162,0.817769,0.852071,0.679245,0.755906,0.607595
163,0.845088,0.859649,0.731343,0.790323,0.653333
164,0.786793,0.630841,0.706806,0.666667,0.500000
165,0.961661,0.862069,0.961538,0.909091,0.833333
166,0.790943,0.750000,0.650794,0.696884,0.534783
167,0.879852,0.881029,0.840491,0.860283,0.754821
168,0.835891,0.770609,0.796296,0.783242,0.643713
169,0.461031,0.164021,0.180233,0.171745,0.093939
170,0.965467,0.919732,0.978648,0.948276,0.901639
171,0.892307,0.797170,0.857868,0.826406,0.704167
172,0.990694,0.946078,1.000000,0.972292,0.946078
173,0.942014,0.934010,0.906404,0.920000,0.851852
174,0.631150,0.442623,0.433155,0.437838,0.280277
175,0.485867,0.198347,0.132597,0.158940,0.086331
176,0.912418,0.844920,0.872928,0.858696,0.752381
177,0.732464,0.572165,0.603261,0.587302,0.415730
178,0.781429,0.730539,0.638743,0.681564,0.516949
179,0.672567,0.803030,0.395522,0.530000,0.360544
180,0.848175,0.844828,0.742424,0.790323,0.653333
181,0.940320,0.905405,0.917808,0.911565,0.837500
182,0.919130,0.815789,0.927350,0.868000,0.766784
183,0.921884,0.932862,0.882943,0.907216,0.830189
184,0.779880,0.597122,0.757991,0.668008,0.501511
185,0.906291,0.888889,0.894260,0.891566,0.804348
186,0.841002,0.719858,0.828571,0.770398,0.626543
187,0.735324,0.586957,0.596685,0.591781,0.420233
188,0.908949,0.837696,0.869565,0.853333,0.744186
189,0.810959,0.892857,0.641026,0.746269,0.595238
190,0.866194,0.758333,0.834862,0.794760,0.659420
191,0.808633,0.696035,0.738318,0.716553,0.558304
192,0.900955,0.807947,0.847222,0.827119,0.705202
193,0.906025,0.847826,0.874439,0.860927,0.755814
194,0.970031,0.803468,0.992857,0.888179,0.798851
195,0.896982,0.865714,0.899110,0.882096,0.789062
196,0.928388,0.946721,0.881679,0.913043,0.840000
197,0.687177,0.625000,0.718391,0.668449,0.502008
198,0.843777,0.681373,0.794286,0.733509,0.579167
199,0.845604,0.761682,0.779904,0.770686,0.626923
200,0.896791,0.865031,0.829412,0.846847,0.734375
201,0.872734,0.858586,0.833333,0.845771,0.732759
202,0.790147,0.735484,0.647727,0.688822,0.525346
203,0.712992,0.617647,0.565022,0.590164,0.418605
204,0.688977,0.475248,0.551724,0.510638,0.342857
205,0.924046,0.947115,0.867841,0.905747,0.827731
206,0.878603,0.897959,0.792793,0.842105,0.727273
207,0.808673,0.701493,0.719388,0.710327,0.550781
208,0.895128,0.764505,0.918033,0.834264,0.715655
209,0.762266,0.650350,0.603896,0.626263,0.455882
210,0.736586,0.608911,0.608911,0.608911,0.437722
211,0.964753,0.873016,0.986547,0.926316,0.862745
212,0.908725,0.903448,0.839744,0.870432,0.770588
213,0.849431,0.796512,0.756906,0.776204,0.634259
214,0.879667,0.713115,0.878788,0.787330,0.649254
215,0.799087,0.760148,0.727915,0.743682,0.591954
216,0.871762,0.935897,0.760417,0.839080,0.722772
217,0.647588,0.577855,0.549342,0.563238,0.392019
218,0.842808,0.863095,0.725000,0.788043,0.650224
219,0.746991,0.656780,0.643154,0.649895,0.481366
220,0.812423,0.761905,0.767123,0.764505,0.618785
221,0.607038,0.666667,0.260870,0.375000,0.230769
222,0.906310,0.973154,0.819209,0.889571,0.801105
223,0.908773,0.929368,0.856164,0.891266,0.803859
224,0.781628,0.709957,0.686192,0.697872,0.535948
225,0.934895,0.936255,0.900383,0.917969,0.848375
226,0.792364,0.840278,0.623711,0.715976,0.557604
227,0.929897,0.915612,0.896694,0.906054,0.828244
228,0.635691,0.432584,0.437500,0.435028,0.277978
229,0.928361,0.790210,0.965812,0.869231,0.768707
230,0.719940,0.585586,0.601852,0.593607,0.422078
231,0.806764,0.877193,0.671141,0.760456,0.613497
232,0.705828,0.707965,0.546075,0.616570,0.445682
233,0.845771,0.705882,0.791209,0.746114,0.595041
234,0.892539,0.813131,0.847368,0.829897,0.709251
235,0.943731,0.880546,0.955556,0.916519,0.845902
236,0.491719,0.261111,0.217593,0.237374,0.134670
237,0.916744,0.915000,0.863208,0.888350,0.799127
238,0.790059,0.806452,0.631313,0.708215,0.548246
239,0.957597,0.957447,0.933610,0.945378,0.896414
240,0.746495,0.561538,0.691943,0.619958,0.449231
241,0.932064,0.807860,0.939086,0.868545,0.767635
242,0.852240,0.848993,0.800633,0.824104,0.700831
243,0.595947,0.383234,0.361582,0.372093,0.228571
244,0.770508,0.619926,0.727273,0.669323,0.502994
245,0.926621,0.870769,0.940199,0.904153,0.825073
246,0.836579,0.739796,0.759162,0.749354,0.599174
247,0.889745,0.914894,0.807512,0.857855,0.751092
248,0.917209,0.894587,0.918129,0.906205,0.828496
249,0.935374,0.842593,0.928571,0.883495,0.791304
250,0.571683,0.445946,0.208861,0.284483,0.165829
251,0.628679,0.414508,0.444444,0.428954,0.273038
252,0.760584,0.631579,0.624277,0.627907,0.457627
253,0.941534,0.816794,0.968326,0.886128,0.795539
254,0.832749,0.688995,0.774194,0.729114,0.573705
255,0.785012,0.874074,0.598985,0.710843,0.551402
256,0.775834,0.878307,0.597122,0.710921,0.551495
257,0.885316,0.946108,0.786070,0.858696,0.752381
258,0.927331,0.960145,0.877483,0.916955,0.846645
259,0.757696,0.719577,0.609865,0.660194,0.492754
260,0.644711,0.572368,0.563107,0.567700,0.396355
261,0.945764,0.862500,0.926174,0.893204,0.807018
262,0.945964,0.856383,0.936047,0.894444,0.809045
263,0.705098,0.518797,0.635945,0.571429,0.400000
264,0.914373,0.818182,0.884393,0.850000,0.739130
265,0.764326,0.654237,0.725564,0.688057,0.524457
266,0.932267,0.842391,0.911765,0.875706,0.778894
267,0.807937,0.764706,0.742857,0.753623,0.604651
268,0.912080,0.841912,0.905138,0.872381,0.773649
269,0.845004,0.734375,0.774725,0.754011,0.605150
270,0.792246,0.632743,0.725888,0.676123,0.510714
271,0.864215,0.802778,0.883792,0.841339,0.726131
272,0.616627,0.483871,0.474308,0.479042,0.314961
273,0.904742,0.809955,0.881773,0.844340,0.730612
274,0.882141,0.917763,0.820588,0.866460,0.764384
275,0.447070,0.000000,0.000000,0.000000,0.000000
276,0.612556,0.552632,0.520124,0.535885,0.366013
277,0.874857,0.926667,0.767956,0.839879,0.723958
278,0.760018,0.632353,0.648241,0.640199,0.470803
279,0.764879,0.849206,0.616715,0.714524,0.555844
280,0.950357,0.927660,0.931624,0.929638,0.868526
281,0.868140,0.865132,0.824451,0.844302,0.730556
282,0.839330,0.646018,0.811111,0.719212,0.561538
283,0.926332,0.862661,0.909502,0.885463,0.794466
284,0.888687,0.822727,0.845794,0.834101,0.715415
285,0.822194,0.967105,0.653333,0.779841,0.639130
286,0.889394,0.795031,0.831169,0.812698,0.684492
287,0.609231,0.492647,0.489051,0.490842,0.325243
288,0.907344,0.853982,0.873303,0.863535,0.759843
289,0.866763,0.842254,0.861671,0.851852,0.741935
290,0.839940,0.756757,0.736842,0.746667,0.595745
291,0.934942,0.965368,0.884921,0.923395,0.857692
292,0.926593,0.885906,0.880000,0.882943,0.790419
293,0.862534,0.804020,0.792079,0.798005,0.663900
294,0.527662,0.347985,0.386179,0.366089,0.224057
295,0.826228,0.711340,0.745946,0.728232,0.572614
296,0.929826,0.899441,0.889503,0.894444,0.809045
297,0.949744,0.926136,0.920904,0.923513,0.857895
298,0.936441,0.905473,0.905473,0.905473,0.827273
299,0.921592,0.827160,0.887417,0.856230,0.748603
300,0.708993,0.595745,0.549020,0.571429,0.400000
301,0.965033,0.833333,0.981595,0.901408,0.820513
302,0.888781,0.867925,0.811765,0.838906,0.722513
