round,area,perbuilding,fixbuilding
227,1.460,0.372,0.311
228,1.406,0.352,0.314
229,1.476,0.355,0.309
230,1.463,0.359,0.312
231,1.460,0.372,0.311
232,1.474,0.369,0.315
233,1.491,0.354,0.309
234,1.458,0.352,0.314
235,1.484,0.366,0.311
236,1.480,0.358,0.317
237,1.470,0.350,0.310
238,1.462,0.353,0.312
239,1.459,0.352,0.313
240,1.421,0.353,0.309
241,1.463,0.360,0.310
242,1.454,0.354,0.316
243,1.457,0.376,0.314
244,1.481,0.357,0.313
245,1.435,0.371,0.314
246,1.470,0.345,0.313
247,1.462,0.367,0.310
248,1.500,0.345,0.311
249,1.473,0.350,0.309
250,1.476,0.352,0.312
251,1.467,0.357,0.316
252,1.477,0.372,0.312
253,1.451,0.356,0.316
254,1.457,0.371,0.311
255,1.468,0.356,0.314
256,1.484,0.354,0.314
257,1.448,0.358,0.312
258,1.409,0.351,0.311
259,1.473,0.366,0.318
260,1.480,0.349,0.312
261,1.475,0.355,0.306
262,1.456,0.353,0.306
263,1.459,0.358,0.312
264,1.459,0.367,0.316
265,1.467,0.358,0.311
266,1.464,0.368,0.314
267,1.473,0.354,0.315
268,1.448,0.349,0.311
269,1.481,0.353,0.316
270,1.468,0.355,0.318
271,1.430,0.356,0.307
272,1.451,0.352,0.310
273,1.451,0.350,0.316
274,1.473,0.359,0.310
275,1.467,0.367,0.310
276,1.465,0.362,0.310
277,1.448,0.373,0.314
278,1.483,0.367,0.314
279,1.467,0.353,0.314
280,1.414,0.359,0.315
281,1.482,0.351,0.316
282,1.486,0.368,0.312
283,1.465,0.370,0.310
284,1.476,0.351,0.310
285,1.478,0.368,0.309
286,1.470,0.359,0.314
287,1.395,0.358,0.309
288,1.484,0.360,0.313
289,1.487,0.345,0.311
290,1.458,0.366,0.311
291,1.479,0.349,0.311
292,1.476,0.373,0.312
293,1.484,0.363,0.313
294,1.473,0.354,0.313
295,1.453,0.349,0.313
296,1.406,0.356,0.314
297,1.436,0.366,0.314
298,1.444,0.348,0.309
299,1.455,0.352,0.314
