id,acc,pre,rec,f1s,iou
0,0.946850,1.000000,0.893701,0.943867,0.893701
1,0.917494,0.868902,0.925325,0.896226,0.811966
2,0.708613,0.487805,0.588235,0.533333,0.363636
3,0.838938,0.734300,0.771574,0.752475,0.603175
4,0.885068,0.823204,0.823204,0.823204,0.699531
5,0.885291,0.823009,0.841629,0.832215,0.712644
6,0.891663,0.802260,0.840237,0.820809,0.696078
7,0.867790,0.757085,0.842342,0.797441,0.663121
8,0.811652,0.867299,0.677778,0.760915,0.614094
9,0.961411,0.896907,0.956044,0.925532,0.861386
10,0.859115,0.811644,0.828671,0.820069,0.695015
11,0.787270,0.704142,0.657459,0.680000,0.515152
12,0.749553,0.615385,0.615385,0.615385,0.444444
13,0.832362,0.464286,0.795918,0.586466,0.414894
14,0.811020,0.912568,0.652344,0.760820,0.613971
15,0.842519,0.941520,0.703057,0.805000,0.673640
16,0.921208,0.888889,0.873563,0.881159,0.787565
17,0.962146,0.901042,0.955801,0.927614,0.865000
18,0.963052,0.967033,0.936170,0.951351,0.907216
19,0.921710,0.757202,0.943590,0.840183,0.724409
20,0.736196,0.602210,0.592391,0.597260,0.425781
21,0.756888,0.672986,0.636771,0.654378,0.486301
22,0.860360,0.691860,0.804054,0.743750,0.592040
23,0.927542,0.845070,0.970874,0.903614,0.824176
24,0.862312,0.639053,0.818182,0.717608,0.559585
25,0.936281,0.858537,0.921466,0.888889,0.800000
26,0.968537,0.873303,0.984694,0.925659,0.861607
27,0.738261,0.489627,0.678161,0.568675,0.397306
28,0.890441,0.869186,0.882006,0.875549,0.778646
29,0.695797,0.628571,0.478261,0.543210,0.372881
30,0.970406,0.922414,0.972727,0.946903,0.899160
31,0.830681,0.830325,0.759076,0.793103,0.657143
32,0.685653,0.900826,0.394928,0.549118,0.378472
33,0.681277,0.446602,0.547619,0.491979,0.326241
34,0.695136,0.508197,0.537572,0.522472,0.353612
35,0.840702,0.739130,0.787037,0.762332,0.615942
36,0.993655,0.975309,0.993711,0.984424,0.969325
37,0.773282,0.630350,0.716814,0.670807,0.504673
38,0.982116,0.916279,0.994949,0.953995,0.912037
39,0.718043,0.696517,0.551181,0.615385,0.444444
40,0.534903,0.396226,0.122093,0.186667,0.102941
41,0.941498,0.978947,0.889952,0.932331,0.873239
42,0.725904,0.944882,0.465116,0.623377,0.452830
43,0.810798,0.739645,0.694444,0.716332,0.558036
44,0.955124,0.929825,0.929825,0.929825,0.868852
45,0.738630,0.725806,0.532544,0.614334,0.443350
46,0.945421,0.878924,0.937799,0.907407,0.830508
47,0.792393,0.709677,0.718367,0.713996,0.555205
48,0.923177,0.883495,0.887805,0.885645,0.794760
49,0.887609,0.862069,0.815217,0.837989,0.721154
50,0.951629,0.909091,0.935961,0.922330,0.855856
51,0.867929,0.792553,0.801075,0.796791,0.662222
52,0.753541,0.663043,0.613065,0.637076,0.467433
53,0.731410,0.624113,0.666667,0.644689,0.475676
54,0.557112,0.483766,0.459877,0.471519,0.308489
55,0.927679,0.916279,0.887387,0.901602,0.820833
56,0.959108,0.850000,0.973958,0.907767,0.831111
57,0.747490,0.875969,0.523148,0.655072,0.487069
58,0.870318,0.932660,0.786932,0.853621,0.744624
59,0.891568,0.807860,0.860465,0.833333,0.714286
60,0.856792,0.789157,0.770588,0.779762,0.639024
61,0.828999,0.837288,0.762346,0.798061,0.663978
62,0.703801,0.557214,0.560000,0.558603,0.387543
63,0.748287,0.623711,0.620513,0.622108,0.451493
64,0.848420,0.892045,0.730233,0.803069,0.670940
65,0.979851,0.943396,0.980392,0.961538,0.925926
66,0.827349,0.929825,0.688312,0.791045,0.654321
67,0.959479,0.885870,0.953216,0.918310,0.848958
68,0.952760,0.953333,0.916667,0.934641,0.877301
69,0.912215,0.933993,0.868098,0.899841,0.817919
70,0.784362,0.912162,0.592105,0.718085,0.560166
71,0.692972,0.822967,0.473829,0.601399,0.430000
72,0.864998,0.846154,0.777778,0.810526,0.681416
73,0.405312,0.071429,0.095890,0.081871,0.042683
74,0.654520,0.421986,0.589109,0.491736,0.326027
75,0.858151,0.948052,0.730000,0.824859,0.701923
76,0.671996,0.558824,0.472637,0.512129,0.344203
77,0.974763,0.824176,1.000000,0.903614,0.824176
78,0.540595,0.687500,0.111864,0.192420,0.106452
79,0.929580,0.906977,0.894495,0.900693,0.819328
80,0.832716,0.553398,0.808511,0.657061,0.489270
81,0.725610,0.666667,0.500000,0.571429,0.400000
82,0.794821,0.811475,0.682759,0.741573,0.589286
83,0.833009,0.896429,0.731778,0.805778,0.674731
84,0.573405,0.519531,0.413043,0.460208,0.298876
85,0.897473,0.850000,0.860759,0.855346,0.747253
86,0.772793,0.907609,0.579861,0.707627,0.547541
87,0.960124,0.881919,0.979508,0.928155,0.865942
88,0.942211,1.000000,0.884422,0.938667,0.884422
89,0.754184,0.808612,0.588850,0.681452,0.516820
90,0.897669,0.931818,0.815920,0.870027,0.769953
91,0.832902,0.771186,0.764706,0.767932,0.623288
92,0.923885,0.878472,0.916667,0.897163,0.813505
93,0.745815,0.691057,0.551948,0.613718,0.442708
94,0.931284,0.887324,0.904306,0.895735,0.811159
95,0.939286,0.939535,0.901786,0.920273,0.852321
96,0.957625,0.932292,0.937173,0.934726,0.877451
97,0.623095,0.497942,0.476378,0.486922,0.321809
98,0.822535,0.643172,0.780749,0.705314,0.544776
99,0.810695,0.801843,0.701613,0.748387,0.597938
100,0.962099,0.884393,0.956250,0.918919,0.850000
101,0.798805,0.852217,0.655303,0.740899,0.588435
102,0.840288,0.580808,0.809859,0.676471,0.511111
103,0.697657,0.590406,0.608365,0.599251,0.427807
104,0.926206,0.911290,0.869231,0.889764,0.801418
105,0.927091,0.873518,0.913223,0.892929,0.806569
106,0.850813,0.836735,0.829480,0.833091,0.713930
107,0.592553,0.408537,0.348958,0.376404,0.231834
108,0.908946,0.788235,0.913636,0.846316,0.733577
109,0.639526,0.844444,0.305221,0.448378,0.288973
110,0.750507,0.538793,0.679348,0.600962,0.429553
111,0.434232,0.070866,0.056962,0.063158,0.032609
112,0.412062,0.022472,0.006515,0.010101,0.005076
113,0.911485,0.897561,0.859813,0.878282,0.782979
114,0.733311,0.518828,0.659574,0.580796,0.409241
115,0.721186,0.564516,0.576923,0.570652,0.399240
116,0.843039,0.958084,0.698690,0.808081,0.677966
117,0.943910,0.940299,0.908654,0.924205,0.859091
118,0.844967,0.726829,0.784211,0.754430,0.605691
119,0.705857,0.980392,0.413223,0.581395,0.409836
120,0.531320,0.625000,0.071942,0.129032,0.068966
121,0.971964,0.933333,0.975410,0.953908,0.911877
122,0.966355,0.910000,0.962963,0.935733,0.879227
123,0.815820,0.756098,0.744000,0.750000,0.600000
124,0.941352,0.959799,0.896714,0.927184,0.864253
125,0.910105,0.870690,0.874459,0.872570,0.773946
126,0.834781,0.700000,0.769231,0.732984,0.578512
127,0.734961,0.571429,0.563380,0.567376,0.396040
128,0.980392,1.000000,0.960784,0.980000,0.960784
129,0.864461,0.873016,0.771028,0.818859,0.693277
130,0.724915,0.554348,0.671053,0.607143,0.435897
131,0.899680,0.958716,0.816406,0.881857,0.788679
132,0.893369,0.772222,0.852761,0.810496,0.681373
133,0.470686,0.057971,0.037383,0.045455,0.023256
134,0.805369,0.629464,0.750000,0.684466,0.520295
135,0.883078,0.727273,0.842105,0.780488,0.640000
136,0.929866,0.846975,0.940711,0.891386,0.804054
137,0.660075,0.837209,0.344498,0.488136,0.322870
138,0.950821,0.920578,0.944444,0.932358,0.873288
139,0.357813,0.000000,0.000000,0.000000,0.000000
140,0.953334,0.947955,0.934066,0.940959,0.888502
141,0.838248,0.691589,0.787234,0.736318,0.582677
142,0.977969,0.921296,0.985149,0.952153,0.908676
143,0.949024,0.900621,0.923567,0.911950,0.838150
144,0.903867,0.821549,0.910448,0.863717,0.760125
145,0.618310,0.500000,0.518116,0.508897,0.341289
146,0.917107,0.919255,0.855491,0.886228,0.795699
147,0.704744,0.641026,0.505051,0.564972,0.393701
148,0.822963,0.798077,0.721739,0.757991,0.610294
149,0.785513,0.957447,0.581897,0.723861,0.567227
150,0.720691,0.774892,0.554180,0.646209,0.477333
151,0.862111,0.746479,0.858300,0.798493,0.664577
152,0.827179,0.743017,0.730769,0.736842,0.583333
153,0.785393,0.645833,0.650350,0.648084,0.479381
154,0.943501,0.899563,0.927928,0.913525,0.840816
155,0.950412,0.835052,0.952941,0.890110,0.801980
156,0.523148,1.000000,0.046296,0.088496,0.046296
157,0.960420,0.905473,0.952880,0.928571,0.866667
158,0.633974,0.595679,0.564327,0.579580,0.408034
159,0.926269,0.799065,0.924324,0.857143,0.750000
160,0.784860,0.927273,0.582857,0.715789,0.557377
161,0.834412,0.777273,0.756637,0.766816,0.621818
162,0.815675,0.865854,0.669811,0.755319,0.606838
163,0.823904,0.782609,0.716418,0.748052,0.597510
164,0.778273,0.609091,0.701571,0.652068,0.483755
165,0.926425,0.833333,0.897436,0.864198,0.760870
166,0.763772,0.716981,0.603175,0.655172,0.487179
167,0.879852,0.881029,0.840491,0.860283,0.754821
168,0.819282,0.819328,0.722222,0.767717,0.623003
169,0.435325,0.125000,0.133721,0.129213,0.069069
170,0.844322,0.813187,0.790036,0.801444,0.668675
171,0.892307,0.797170,0.857868,0.826406,0.704167
172,0.982922,0.945274,0.984456,0.964467,0.931373
173,0.936465,0.957447,0.886700,0.920716,0.853081
174,0.631150,0.442623,0.433155,0.437838,0.280277
175,0.716830,0.671533,0.508287,0.578616,0.407080
176,0.912418,0.844920,0.872928,0.858696,0.752381
177,0.758551,0.630435,0.630435,0.630435,0.460317
178,0.780939,0.684783,0.659686,0.672000,0.506024
179,0.577910,0.539568,0.279851,0.368550,0.225904
180,0.785448,0.675000,0.681818,0.678392,0.513308
181,0.685178,0.702899,0.442922,0.543417,0.373077
182,0.883077,0.818182,0.846154,0.831933,0.712230
183,0.914050,0.955056,0.852843,0.901060,0.819936
184,0.633248,0.478673,0.461187,0.469767,0.306991
185,0.794679,0.980198,0.598187,0.742964,0.591045
186,0.838033,0.740602,0.804082,0.771037,0.627389
187,0.745554,0.650307,0.585635,0.616279,0.445378
188,0.898080,0.834225,0.847826,0.840970,0.725581
189,0.794933,0.887850,0.608974,0.722433,0.565476
190,0.927829,0.954774,0.871560,0.911271,0.837004
191,0.789941,0.684932,0.700935,0.692841,0.530035
192,0.913715,0.827815,0.868056,0.847458,0.735294
193,0.847729,0.828431,0.757848,0.791569,0.655039
194,0.836025,0.844828,0.700000,0.765625,0.620253
195,0.908168,0.891176,0.899110,0.895126,0.810160
196,0.949395,0.963855,0.916031,0.939335,0.885609
197,0.687177,0.625000,0.718391,0.668449,0.502008
198,0.843777,0.681373,0.794286,0.733509,0.579167
199,0.711001,0.547826,0.602871,0.574032,0.402556
200,0.879958,0.865385,0.794118,0.828221,0.706806
201,0.872734,0.858586,0.833333,0.845771,0.732759
202,0.782072,0.748299,0.625000,0.681115,0.516432
203,0.687577,0.545852,0.560538,0.553097,0.382263
204,0.684464,0.467980,0.545977,0.503979,0.336879
205,0.817663,0.865169,0.678414,0.760494,0.613546
206,0.891643,0.909548,0.815315,0.859857,0.754167
207,0.808673,0.701493,0.719388,0.710327,0.550781
208,0.820036,0.738095,0.762295,0.750000,0.600000
209,0.514574,0.258621,0.097403,0.141509,0.076142
210,0.702460,0.852941,0.430693,0.572368,0.400922
211,0.958806,0.950000,0.937220,0.943567,0.893162
212,0.894394,0.803681,0.839744,0.821317,0.696809
213,0.824570,0.785276,0.707182,0.744186,0.592593
214,0.873763,0.707819,0.868687,0.780045,0.639405
215,0.824753,0.741100,0.809187,0.773649,0.630854
216,0.815245,0.953488,0.640625,0.766355,0.621212
217,0.723520,0.751092,0.565789,0.645403,0.476454
218,0.853733,0.886228,0.740000,0.806540,0.675799
219,0.849396,0.644509,0.925311,0.759796,0.612637
220,0.848327,0.788274,0.828767,0.808013,0.677871
221,0.599662,0.746032,0.227053,0.348148,0.210762
222,0.916199,0.904762,0.858757,0.881159,0.787565
223,0.868206,0.977578,0.746575,0.846602,0.734007
224,0.801889,0.714286,0.732218,0.723140,0.566343
225,0.896555,0.990476,0.796935,0.883227,0.790875
226,0.897152,0.884615,0.829897,0.856383,0.748837
227,0.814339,0.809524,0.702479,0.752212,0.602837
228,0.588218,0.375000,0.340909,0.357143,0.217391
229,0.934406,0.815217,0.961538,0.882353,0.789474
230,0.753326,0.629464,0.652778,0.640909,0.471572
231,0.943319,0.906752,0.946309,0.926108,0.862385
232,0.666964,0.657407,0.484642,0.557957,0.386921
233,0.511756,0.437500,0.038462,0.070707,0.036649
234,0.892539,0.813131,0.847368,0.829897,0.709251
235,0.943731,0.880546,0.955556,0.916519,0.845902
236,0.491719,0.261111,0.217593,0.237374,0.134670
237,0.916051,0.962366,0.844340,0.899497,0.817352
238,0.779993,0.816327,0.606061,0.695652,0.533333
239,0.955977,0.977974,0.921162,0.948718,0.902439
240,0.695570,0.798246,0.431280,0.560000,0.388889
241,0.932064,0.807860,0.939086,0.868545,0.767635
242,0.852240,0.848993,0.800633,0.824104,0.700831
243,0.572762,0.341040,0.333333,0.337143,0.202749
244,0.816510,0.652778,0.813853,0.724470,0.567976
245,0.641413,0.966667,0.289037,0.445013,0.286184
246,0.774595,0.707602,0.633508,0.668508,0.502075
247,0.943456,0.911628,0.920188,0.915888,0.844828
248,0.887725,0.924837,0.827485,0.873457,0.775342
249,0.935374,0.842593,0.928571,0.883495,0.791304
250,0.548702,0.369863,0.170886,0.233766,0.132353
251,0.658646,0.454082,0.494444,0.473404,0.310105
252,0.761402,0.635294,0.624277,0.629738,0.459574
253,0.797541,0.778947,0.669683,0.720195,0.562738
254,0.840328,0.833333,0.725806,0.775862,0.633803
255,0.781605,0.848921,0.598985,0.702381,0.541284
256,0.880961,0.903614,0.809353,0.853890,0.745033
257,0.719426,0.718310,0.507463,0.594752,0.423237
258,0.899405,0.976096,0.811258,0.886076,0.795455
259,0.757696,0.719577,0.609865,0.660194,0.492754
260,0.545927,0.466387,0.359223,0.405850,0.254587
261,0.945764,0.862500,0.926174,0.893204,0.807018
262,0.945964,0.856383,0.936047,0.894444,0.809045
263,0.718240,0.684524,0.529954,0.597403,0.425926
264,0.864805,0.813253,0.780347,0.796460,0.661765
265,0.705446,0.635246,0.582707,0.607843,0.436620
