id,acc,pre,rec,f1s,iou
0,0.930973,0.965066,0.876984,0.918919,0.850000
1,0.924490,0.855263,0.906977,0.880361,0.786290
2,0.967320,1.000000,0.934641,0.966216,0.934641
3,0.988189,0.958333,1.000000,0.978723,0.958333
4,0.968978,1.000000,0.937956,0.967985,0.937956
5,0.993802,0.980392,1.000000,0.990099,0.980392
6,0.915105,0.900763,0.880597,0.890566,0.802721
7,0.952599,0.955823,0.926070,0.940711,0.888060
8,0.920679,0.868946,0.941358,0.903704,0.824324
9,0.877061,0.937500,0.775862,0.849057,0.737705
10,0.939130,0.852632,1.000000,0.920455,0.852632
11,0.866313,0.813380,0.836957,0.825000,0.702128
12,0.900764,0.929412,0.837456,0.881041,0.787375
13,0.977082,0.964744,0.977273,0.970968,0.943574
14,0.895625,0.807843,0.880342,0.842536,0.727915
15,0.968438,0.962963,0.962963,0.962963,0.928571
16,0.912382,0.915205,0.891738,0.903319,0.823684
17,0.956204,1.000000,0.912409,0.954198,0.912409
18,0.770435,0.764706,0.675325,0.717241,0.559140
19,0.949679,0.870293,0.954128,0.910284,0.835341
20,0.941438,0.820000,0.984000,0.894545,0.809211
21,0.942209,0.860558,0.947368,0.901879,0.821293
22,0.870301,0.891892,0.785714,0.835443,0.717391
23,0.969223,0.939394,0.968750,0.953846,0.911765
24,0.938327,0.948649,0.923684,0.936000,0.879699
25,0.995362,0.980000,1.000000,0.989899,0.980000
26,0.892714,0.905797,0.838926,0.871080,0.771605
27,0.961141,0.965116,0.939623,0.952199,0.908759
28,0.732673,0.593651,0.711027,0.647059,0.478261
29,0.564064,0.540230,0.200855,0.292835,0.171533
30,0.979757,1.000000,0.959514,0.979339,0.959514
31,0.913035,0.884000,0.880478,0.882236,0.789286
32,0.942901,1.000000,0.885802,0.939444,0.885802
33,0.918950,0.867742,0.921233,0.893688,0.807808
34,0.982318,0.938567,1.000000,0.968310,0.938567
35,0.896463,0.916667,0.837370,0.875226,0.778135
36,0.994186,1.000000,0.988372,0.994152,0.988372
37,0.952804,0.945455,0.935252,0.940325,0.887372
38,0.958333,1.000000,0.916667,0.956522,0.916667
39,0.902072,0.916031,0.848057,0.880734,0.786885
40,0.931973,0.980916,0.874150,0.924460,0.859532
41,0.987179,1.000000,0.974359,0.987013,0.974359
42,0.934645,0.995671,0.871212,0.929293,0.867925
43,0.941288,0.880000,0.916667,0.897959,0.814815
44,0.748820,0.703704,0.705882,0.704791,0.544153
45,0.917958,0.989189,0.839450,0.908189,0.831818
46,0.988189,0.958333,1.000000,0.978723,0.958333
47,0.909278,0.840000,0.913043,0.875000,0.777778
48,0.901080,0.827309,0.880342,0.853002,0.743682
49,0.757047,0.968254,0.521368,0.677778,0.512605
50,0.918768,0.918367,0.875486,0.896414,0.812274
51,0.937838,1.000000,0.875676,0.933718,0.875676
52,0.863191,0.740826,0.975831,0.842243,0.727477
53,0.628563,0.758065,0.281437,0.410480,0.258242
54,0.988212,0.958188,1.000000,0.978648,0.958188
55,0.906002,0.929167,0.844697,0.884921,0.793594
56,0.880814,0.897778,0.804781,0.848739,0.737226
57,0.990475,0.978799,0.992832,0.985765,0.971930
58,0.899273,0.912664,0.836000,0.872651,0.774074
59,0.968326,0.924324,1.000000,0.960674,0.924324
60,0.950000,0.740426,1.000000,0.850856,0.740426
61,0.498340,0.166667,0.005155,0.010000,0.005025
62,0.934238,0.939799,0.906452,0.922824,0.856707
63,0.930882,0.826087,0.950000,0.883721,0.791667
64,0.947346,0.897778,0.935185,0.916100,0.845188
65,0.928406,0.952941,0.880435,0.915254,0.843750
66,1.000000,1.000000,1.000000,1.000000,1.000000
67,0.967213,1.000000,0.934426,0.966102,0.934426
68,0.913327,0.858300,0.890756,0.874227,0.776557
69,0.931947,0.818898,0.945455,0.877637,0.781955
70,0.988333,1.000000,0.976667,0.988196,0.976667
71,0.963769,0.954198,0.950570,0.952381,0.909091
72,0.775211,0.592992,0.839695,0.695103,0.532688
73,0.927165,0.918269,0.884259,0.900943,0.819742
74,0.505567,0.375000,0.019108,0.036364,0.018519
75,0.940000,1.000000,0.880000,0.936170,0.880000
76,0.939693,0.972299,0.904639,0.937250,0.881910
77,0.957143,0.958333,0.938776,0.948454,0.901961
78,0.957587,0.951542,0.935065,0.943231,0.892562
79,0.940476,0.976562,0.892857,0.932836,0.874126
80,0.963540,0.949868,0.972973,0.961282,0.925450
81,0.860884,0.907631,0.768707,0.832413,0.712934
82,0.937996,0.962825,0.896194,0.928315,0.866221
83,0.956751,0.954545,0.936803,0.945591,0.896797
84,0.948039,0.945087,0.939655,0.942363,0.891008
85,0.993320,0.980159,0.995968,0.988000,0.976285
86,0.938861,0.974359,0.900000,0.935705,0.879177
87,0.922577,0.887029,0.894515,0.890756,0.803030
88,0.908657,0.969298,0.830827,0.894737,0.809524
89,0.971414,0.941935,0.979866,0.960526,0.924051
90,0.814487,0.802703,0.804878,0.803789,0.671946
91,0.965308,0.940972,0.964413,0.952548,0.909396
92,0.929688,0.952381,0.892857,0.921659,0.854701
93,0.983148,0.978261,0.972973,0.975610,0.952381
94,0.952019,0.975069,0.926316,0.950067,0.904884
95,0.977395,0.958188,0.978648,0.968310,0.938567
96,0.900410,0.864322,0.847291,0.855721,0.747826
97,0.988722,0.954545,1.000000,0.976744,0.954545
98,0.973684,1.000000,0.947368,0.972973,0.947368
99,0.840226,0.836283,0.750000,0.790795,0.653979
100,0.973134,1.000000,0.946269,0.972393,0.946269
101,0.968319,0.954338,0.954338,0.954338,0.912664
102,0.944510,0.874126,0.957854,0.914077,0.841751
103,0.912126,0.904762,0.870229,0.887160,0.797203
104,0.994297,0.977273,1.000000,0.988506,0.977273
105,0.641671,0.716667,0.346774,0.467391,0.304965
106,0.943872,0.946188,0.909483,0.927473,0.864754
107,0.860522,0.829630,0.811594,0.820513,0.695652
108,0.978507,0.947368,1.000000,0.972973,0.947368
109,0.952509,0.944681,0.928870,0.936709,0.880952
110,0.885151,0.847645,0.894737,0.870555,0.770781
111,0.919846,0.819672,0.917431,0.865801,0.763359
112,0.871028,0.920213,0.768889,0.837772,0.720833
113,0.850732,0.897887,0.765766,0.826580,0.704420
114,0.900735,0.871429,0.902367,0.886628,0.796345
115,0.943839,0.948864,0.902703,0.925208,0.860825
116,0.982839,0.924107,0.995192,0.958333,0.920000
117,0.831181,0.800676,0.784768,0.792642,0.656510
118,0.947529,0.861199,0.982014,0.917647,0.847826
119,0.930118,0.945652,0.890785,0.917399,0.847403
120,0.846863,0.871212,0.764120,0.814159,0.686567
121,0.843009,0.755814,0.802469,0.778443,0.637255
122,0.955545,0.892308,0.962656,0.926148,0.862454
123,0.592615,0.982456,0.187291,0.314607,0.186667
124,0.968918,0.982456,0.945148,0.963441,0.929461
125,0.842246,0.850000,0.772727,0.809524,0.680000
126,0.959613,0.923077,0.951542,0.937093,0.881633
127,0.987179,1.000000,0.974359,0.987013,0.974359
128,0.791337,0.860140,0.677686,0.758089,0.610422
129,0.954639,0.916667,0.956522,0.936170,0.880000
130,0.981851,0.920949,1.000000,0.958848,0.920949
131,0.928147,0.958333,0.878472,0.916667,0.846154
132,0.956373,0.950877,0.940972,0.945899,0.897351
133,0.981262,0.931298,0.995918,0.962525,0.927757
134,0.538000,1.000000,0.076000,0.141264,0.076000
135,0.669277,0.517544,0.533937,0.525612,0.356495
136,0.947930,0.970674,0.919444,0.944365,0.894595
137,0.982987,0.934066,1.000000,0.965909,0.934066
138,0.906906,0.918367,0.852273,0.884086,0.792254
139,0.868300,0.652299,0.957806,0.776068,0.634078
140,0.994024,0.979167,1.000000,0.989474,0.979167
141,0.980009,0.966418,0.977358,0.971857,0.945255
142,0.905278,0.878378,0.859031,0.868597,0.767717
143,0.976190,1.000000,0.952381,0.975610,0.952381
144,0.953029,0.950147,0.944606,0.947368,0.900000
145,0.889233,0.907173,0.820611,0.861723,0.757042
146,0.861916,0.914706,0.797436,0.852055,0.742243
147,0.910707,0.800813,0.907834,0.850972,0.740602
148,0.659923,0.548649,0.667763,0.602374,0.430998
149,0.507177,1.000000,0.014354,0.028302,0.014354
150,0.945167,0.848249,0.960352,0.900826,0.819549
151,0.691912,0.584615,0.589147,0.586873,0.415301
152,0.843006,0.872054,0.770833,0.818325,0.692513
153,0.944570,0.872587,0.949580,0.909457,0.833948
154,0.906338,0.880952,0.883959,0.882453,0.789634
155,0.910500,0.821622,0.962025,0.886297,0.795812
156,0.944900,0.975000,0.898618,0.935252,0.878378
157,0.491100,0.000000,0.000000,0.000000,0.000000
