round,area,perbuilding,fixbuilding
227,1.445,0.131,0.138
228,1.456,0.133,0.143
229,1.451,0.130,0.141
230,1.481,0.133,0.142
231,1.416,0.131,0.145
232,1.427,0.132,0.139
233,1.433,0.131,0.137
234,1.447,0.131,0.140
235,1.450,0.128,0.139
236,1.460,0.129,0.136
237,1.390,0.131,0.134
238,1.463,0.129,0.138
239,1.464,0.132,0.140
240,1.459,0.130,0.140
241,1.446,0.128,0.142
242,1.446,0.131,0.138
243,1.458,0.128,0.138
244,1.454,0.130,0.145
245,1.449,0.130,0.147
246,1.463,0.130,0.138
247,1.378,0.134,0.137
248,1.440,0.129,0.146
249,1.453,0.128,0.143
250,1.448,0.131,0.148
251,1.453,0.130,0.140
252,1.448,0.133,0.140
253,1.405,0.130,0.139
254,1.433,0.133,0.142
255,1.451,0.131,0.139
256,1.467,0.131,0.140
257,1.449,0.129,0.139
258,1.504,0.131,0.145
259,1.440,0.130,0.135
260,1.336,0.130,0.141
261,1.462,0.130,0.146
262,1.443,0.129,0.139
263,1.448,0.134,0.135
264,1.443,0.134,0.138
265,1.412,0.135,0.140
266,1.455,0.136,0.142
267,1.435,0.130,0.145
268,1.457,0.130,0.142
269,1.380,0.130,0.139
270,1.450,0.130,0.148
271,1.389,0.130,0.140
272,1.462,0.128,0.141
273,1.444,0.128,0.143
274,1.417,0.129,0.137
275,1.386,0.130,0.136
276,1.468,0.133,0.139
277,1.460,0.136,0.138
278,1.452,0.129,0.143
279,1.447,0.127,0.147
280,1.378,0.131,0.145
281,1.452,0.130,0.144
282,1.473,0.129,0.145
283,1.406,0.131,0.143
284,1.450,0.131,0.139
285,1.450,0.129,0.137
286,1.377,0.137,0.142
287,1.452,0.135,0.141
288,1.454,0.134,0.136
289,1.404,0.135,0.137
290,1.450,0.130,0.142
291,1.440,0.131,0.145
292,1.431,0.129,0.143
293,1.456,0.132,0.136
294,1.440,0.132,0.146
295,1.477,0.127,0.148
296,1.461,0.132,0.147
297,1.464,0.130,0.141
298,1.419,0.132,0.139
299,1.395,0.130,0.138
