id,acc,pre,rec,f1s,iou
0,0.941834,0.969957,0.896825,0.931959,0.872587
1,0.916892,0.832618,0.902326,0.866071,0.763780
2,0.976010,0.961415,0.977124,0.969206,0.940252
3,0.988189,0.958333,1.000000,0.978723,0.958333
4,0.978102,1.000000,0.956204,0.977612,0.956204
5,1.000000,1.000000,1.000000,1.000000,1.000000
6,0.915105,0.900763,0.880597,0.890566,0.802721
7,0.944156,0.909091,0.933852,0.921305,0.854093
8,0.933092,0.894737,0.944444,0.918919,0.850000
9,0.779017,0.732057,0.659483,0.693878,0.531250
10,0.941304,0.857143,1.000000,0.923077,0.857143
11,0.895926,0.843750,0.880435,0.861702,0.757009
12,0.954145,0.973881,0.922261,0.947368,0.900000
13,0.976891,0.933333,1.000000,0.965517,0.933333
14,0.958493,0.995370,0.918803,0.955556,0.914894
15,1.000000,1.000000,1.000000,1.000000,1.000000
16,0.885240,0.897590,0.849003,0.872621,0.774026
17,0.957514,0.925795,0.956204,0.940754,0.888136
18,0.838235,0.823129,0.785714,0.803987,0.672222
19,0.941186,0.806084,0.972477,0.881497,0.788104
20,0.925738,0.844203,0.932000,0.885932,0.795222
21,0.922804,0.909502,0.881579,0.895323,0.810484
22,0.934733,0.909091,0.912698,0.910891,0.836364
23,0.988636,0.955224,1.000000,0.977099,0.955224
24,0.889812,0.897297,0.873684,0.885333,0.794258
25,0.984230,0.935115,1.000000,0.966469,0.935115
26,0.885022,0.863946,0.852349,0.858108,0.751479
27,0.964994,0.980315,0.939623,0.959538,0.922222
28,0.692511,0.537538,0.680608,0.600671,0.429257
29,0.880163,0.907317,0.794872,0.847380,0.735178
30,1.000000,1.000000,1.000000,1.000000,1.000000
31,0.931901,0.891473,0.916335,0.903733,0.824373
32,0.959877,1.000000,0.919753,0.958199,0.919753
33,0.886471,0.846154,0.866438,0.856176,0.748521
34,0.982318,0.938567,1.000000,0.968310,0.938567
35,0.886932,0.860627,0.854671,0.857639,0.750760
36,0.994281,0.960894,1.000000,0.980057,0.960894
37,0.918809,0.948617,0.863309,0.903955,0.824742
38,0.876568,0.899225,0.805556,0.849817,0.738854
39,0.908519,0.952000,0.840989,0.893058,0.806780
40,0.987755,0.960784,1.000000,0.980000,0.960784
41,0.972934,1.000000,0.945869,0.972182,0.945869
42,0.959266,0.995902,0.920455,0.956693,0.916981
43,0.981061,0.912088,0.988095,0.948571,0.902174
44,0.777167,0.751613,0.721362,0.736177,0.582500
45,0.983045,0.939130,0.990826,0.964286,0.931034
46,1.000000,1.000000,1.000000,1.000000,1.000000
47,0.621305,0.496667,0.539855,0.517361,0.348946
48,0.898353,0.817460,0.880342,0.847737,0.735714
49,0.946270,0.835165,0.974359,0.899408,0.817204
50,0.932435,0.913725,0.906615,0.910156,0.835125
51,0.962162,1.000000,0.924324,0.960674,0.924324
52,0.873125,0.756440,0.975831,0.852243,0.742529
53,0.952863,0.817259,0.964072,0.884615,0.793103
54,1.000000,1.000000,1.000000,1.000000,1.000000
55,0.899534,0.972727,0.810606,0.884298,0.792593
56,0.884799,0.898678,0.812749,0.853556,0.744526
57,0.933741,0.964844,0.885305,0.923364,0.857639
58,0.908974,0.876000,0.876000,0.876000,0.779359
59,0.968326,0.924324,1.000000,0.960674,0.924324
60,0.996721,0.977528,1.000000,0.988636,0.977528
61,0.502577,1.000000,0.005155,0.010256,0.005155
62,0.949313,0.938710,0.938710,0.938710,0.884498
63,0.868750,0.752727,0.862500,0.803883,0.672078
64,0.960126,0.915556,0.953704,0.934240,0.876596
65,0.919277,0.874564,0.909420,0.891652,0.804487
66,1.000000,1.000000,1.000000,1.000000,1.000000
67,0.991355,0.993399,0.986885,0.990132,0.980456
68,0.886555,0.837500,0.844538,0.841004,0.725632
69,0.864877,0.767932,0.827273,0.796499,0.661818
70,0.980000,1.000000,0.960000,0.979592,0.960000
71,0.981839,0.959259,0.984791,0.971857,0.945255
72,0.935027,0.909091,0.916031,0.912548,0.839161
73,0.892214,0.935484,0.805556,0.865672,0.763158
74,0.501585,0.250000,0.012739,0.024242,0.012270
75,0.960000,1.000000,0.920000,0.958333,0.920000
76,0.939693,0.972299,0.904639,0.937250,0.881910
77,0.989796,1.000000,0.979592,0.989691,0.979592
78,0.956326,0.955556,0.930736,0.942982,0.892116
79,0.979960,0.985455,0.967857,0.976577,0.954225
80,0.963540,0.949868,0.972973,0.961282,0.925450
81,0.851020,0.863636,0.775510,0.817204,0.690909
82,0.887543,1.000000,0.775087,0.873294,0.775087
83,0.956751,0.954545,0.936803,0.945591,0.896797
84,0.904698,0.891429,0.896552,0.893983,0.808290
85,0.974693,0.952569,0.971774,0.962076,0.926923
86,0.963861,0.975676,0.950000,0.962667,0.928021
87,0.956120,0.925620,0.945148,0.935282,0.878431
88,0.942237,0.934866,0.917293,0.925996,0.862191
89,0.922536,0.905724,0.902685,0.904202,0.825153
90,0.826535,0.825000,0.804878,0.814815,0.687500
91,0.951600,0.903010,0.960854,0.931034,0.870968
92,0.840402,0.791667,0.848214,0.818966,0.693431
93,0.954848,0.934783,0.929730,0.932249,0.873096
94,0.961842,1.000000,0.923684,0.960328,0.923684
95,0.957822,0.956522,0.939502,0.947935,0.901024
96,0.914861,0.770492,0.926108,0.841163,0.725869
97,1.000000,1.000000,1.000000,1.000000,1.000000
98,0.983083,1.000000,0.966165,0.982792,0.966165
99,0.901629,0.862205,0.869048,0.865613,0.763066
100,1.000000,1.000000,1.000000,1.000000,1.000000
101,0.965293,0.929204,0.958904,0.943820,0.893617
102,0.755837,0.763285,0.605364,0.675214,0.509677
103,0.946477,0.911111,0.938931,0.924812,0.860140
104,0.994297,0.977273,1.000000,0.988506,0.977273
105,0.732547,0.785714,0.532258,0.634615,0.464789
106,0.939749,0.800000,0.982759,0.882012,0.788927
