round,area,perbuilding,fixbuilding
0,1.706,0.141,0.157
1,1.438,0.137,0.146
2,1.402,0.136,0.152
3,1.463,0.134,0.144
4,1.417,0.137,0.145
5,1.421,0.132,0.147
6,1.412,0.138,0.147
7,1.425,0.132,0.146
8,1.442,0.134,0.150
9,1.418,0.139,0.147
10,1.424,0.131,0.147
11,1.422,0.134,0.147
12,1.375,0.135,0.148
13,1.427,0.136,0.140
14,1.437,0.132,0.145
15,1.420,0.135,0.144
16,1.431,0.135,0.143
17,1.374,0.133,0.143
18,1.431,0.135,0.146
19,1.485,0.131,0.143
20,1.360,0.134,0.149
21,1.450,0.132,0.151
22,1.403,0.134,0.146
23,1.418,0.135,0.141
24,1.414,0.135,0.147
25,1.402,0.135,0.147
26,1.519,0.132,0.148
27,1.483,0.131,0.149
28,1.422,0.132,0.151
29,1.427,0.134,0.145
30,1.433,0.130,0.146
31,1.425,0.137,0.146
32,1.467,0.134,0.148
33,1.401,0.134,0.143
34,1.412,0.132,0.141
35,1.417,0.132,0.144
36,1.469,0.133,0.147
37,1.430,0.133,0.137
38,1.416,0.138,0.144
39,1.456,0.138,0.141
40,1.411,0.131,0.148
41,1.401,0.138,0.139
42,1.421,0.139,0.143
43,1.414,0.136,0.150
44,1.470,0.133,0.149
45,1.475,0.135,0.143
46,1.491,0.134,0.147
47,1.428,0.134,0.140
48,1.421,0.138,0.147
49,1.422,0.134,0.150
50,1.448,0.135,0.146
51,1.427,0.131,0.151
52,1.424,0.133,0.148
53,1.419,0.130,0.147
54,1.414,0.134,0.140
55,1.486,0.135,0.147
56,1.418,0.134,0.143
57,1.453,0.135,0.139
58,1.458,0.132,0.145
59,1.444,0.132,0.148
60,1.426,0.134,0.143
61,1.422,0.137,0.147
62,1.447,0.132,0.144
63,1.441,0.134,0.141
64,1.445,0.134,0.141
65,1.434,0.132,0.149
66,1.414,0.134,0.143
67,1.469,0.134,0.146
68,1.441,0.145,0.140
69,1.409,0.136,0.152
70,1.443,0.137,0.150
71,1.417,0.136,0.147
72,1.416,0.139,0.150
73,1.435,0.132,0.141
74,1.468,0.134,0.142
75,1.427,0.137,0.143
76,1.364,0.132,0.143
77,1.402,0.135,0.142
78,1.412,0.136,0.143
79,1.376,0.134,0.141
80,1.413,0.134,0.141
81,1.417,0.136,0.152
82,1.420,0.135,0.145
83,1.420,0.133,0.148
84,1.450,0.135,0.144
85,1.427,0.136,0.143
86,1.428,0.136,0.143
87,1.394,0.133,0.146
88,1.417,0.135,0.145
89,1.459,0.133,0.149
90,1.415,0.135,0.146
91,1.415,0.135,0.146
92,1.413,0.133,0.149
93,1.434,0.133,0.143
94,1.392,0.138,0.144
95,1.401,0.135,0.145
96,1.426,0.133,0.143
97,1.452,0.134,0.139
98,1.452,0.135,0.143
99,1.425,0.132,0.148
100,1.460,0.133,0.147
101,1.455,0.133,0.148
102,1.429,0.132,0.141
103,1.437,0.138,0.146
104,1.434,0.132,0.141
105,1.420,0.137,0.149
106,1.461,0.133,0.141
107,1.444,0.133,0.142
108,1.440,0.137,0.148
109,1.406,0.137,0.149
110,1.432,0.135,0.140
111,1.416,0.133,0.140
112,1.412,0.137,0.149
113,1.429,0.134,0.144
114,1.435,0.132,0.141
115,1.417,0.132,0.141
116,1.412,0.133,0.142
117,1.443,0.136,0.140
118,1.417,0.138,0.143
119,1.414,0.139,0.140
120,1.433,0.137,0.144
121,1.421,0.137,0.142
122,1.486,0.136,0.140
123,1.358,0.149,0.141
124,1.398,0.135,0.145
125,1.397,0.133,0.141
126,1.479,0.134,0.141
127,1.425,0.136,0.143
128,1.466,0.133,0.139
129,1.401,0.133,0.139
130,1.415,0.132,0.147
131,1.428,0.131,0.144
132,1.380,0.138,0.144
133,1.431,0.130,0.149
134,1.428,0.132,0.138
135,1.484,0.136,0.141
136,1.409,0.135,0.140
137,1.421,0.135,0.146
138,1.399,0.132,0.141
139,1.464,0.134,0.138
140,1.424,0.134,0.144
141,1.426,0.134,0.142
142,1.476,0.129,0.145
143,1.419,0.130,0.142
144,1.411,0.136,0.147
145,1.398,0.131,0.145
146,1.433,0.132,0.152
147,1.437,0.133,0.149
148,1.433,0.133,0.143
149,1.487,0.134,0.140
150,1.476,0.132,0.141
151,1.424,0.134,0.142
152,1.429,0.132,0.141
153,1.423,0.133,0.145
154,1.421,0.131,0.144
155,1.425,0.133,0.145
156,1.427,0.132,0.146
157,1.411,0.135,0.148
158,1.412,0.134,0.139
159,1.422,0.135,0.137
160,1.491,0.132,0.143
161,1.479,0.139,0.147
162,1.418,0.134,0.150
163,1.417,0.133,0.146
164,1.392,0.133,0.139
165,1.415,0.133,0.146
166,1.422,0.134,0.143
167,1.429,0.131,0.141
168,1.434,0.132,0.139
169,1.436,0.133,0.143
170,1.480,0.134,0.143
171,1.383,0.134,0.144
172,1.436,0.135,0.141
173,1.399,0.133,0.140
174,1.411,0.135,0.143
175,1.407,0.138,0.143
176,1.411,0.131,0.139
177,1.492,0.134,0.140
178,1.425,0.136,0.140
179,1.421,0.132,0.147
180,1.448,0.139,0.145
181,1.415,0.132,0.145
182,1.398,0.132,0.140
183,1.391,0.134,0.140
184,1.431,0.133,0.142
185,1.430,0.139,0.145
186,1.432,0.131,0.141
187,1.440,0.131,0.140
188,1.412,0.133,0.147
189,1.420,0.131,0.148
190,1.431,0.137,0.151
191,1.417,0.134,0.148
192,1.454,0.133,0.148
193,1.421,0.134,0.149
194,1.412,0.131,0.148
195,1.412,0.136,0.140
196,1.456,0.130,0.144
197,1.440,0.133,0.139
198,1.443,0.133,0.144
199,1.425,0.137,0.140
200,1.393,0.137,0.143
201,1.428,0.135,0.143
202,1.410,0.133,0.150
203,1.387,0.136,0.143
204,1.404,0.136,0.140
205,1.427,0.133,0.145
206,1.414,0.133,0.146
207,1.412,0.134,0.143
208,1.481,0.131,0.147
209,1.445,0.137,0.138
210,1.408,0.137,0.149
211,1.437,0.133,0.142
212,1.407,0.133,0.148
213,1.405,0.134,0.149
214,1.411,0.133,0.146
215,1.427,0.134,0.146
216,1.436,0.134,0.140
217,1.370,0.141,0.140
218,1.412,0.136,0.140
219,1.483,0.133,0.139
220,1.431,0.134,0.144
221,1.417,0.132,0.143
222,1.466,0.132,0.142
223,1.431,0.134,0.151
224,1.422,0.134,0.153
225,1.416,0.133,0.147
226,1.416,0.138,0.142
227,1.426,0.132,0.140
228,1.413,0.135,0.141
229,1.413,0.136,0.143
230,1.458,0.136,0.144
231,1.383,0.140,0.141
232,1.392,0.134,0.152
233,1.432,0.130,0.150
234,1.412,0.139,0.145
235,1.430,0.134,0.142
236,1.469,0.133,0.141
237,1.366,0.135,0.142
238,1.374,0.133,0.143
239,1.440,0.136,0.145
240,1.403,0.136,0.149
241,1.437,0.133,0.149
242,1.410,0.132,0.141
243,1.433,0.136,0.140
244,1.428,0.133,0.141
245,1.423,0.135,0.144
246,1.431,0.138,0.150
247,1.408,0.139,0.138
248,1.418,0.131,0.140
249,1.432,0.133,0.141
250,1.433,0.135,0.143
251,1.445,0.134,0.138
252,1.414,0.133,0.145
253,1.418,0.131,0.145
254,1.424,0.134,0.139
255,1.455,0.133,0.148
256,1.489,0.135,0.148
257,1.423,0.134,0.137
258,1.440,0.134,0.140
259,1.434,0.134,0.147
260,1.449,0.139,0.144
261,1.437,0.134,0.145
262,1.423,0.131,0.139
263,1.438,0.132,0.146
264,1.418,0.134,0.140
265,1.424,0.134,0.142
266,1.420,0.136,0.144
267,1.419,0.133,0.145
268,1.401,0.135,0.145
269,1.423,0.139,0.148
270,1.457,0.134,0.142
271,1.426,0.131,0.146
272,1.407,0.131,0.147
273,1.450,0.131,0.146
274,1.431,0.130,0.146
275,1.370,0.133,0.145
276,1.431,0.135,0.140
277,1.422,0.137,0.137
278,1.414,0.135,0.146
279,1.408,0.131,0.145
280,1.455,0.133,0.148
281,1.436,0.132,0.145
282,1.433,0.133,0.143
283,1.442,0.136,0.140
284,1.416,0.136,0.140
285,1.479,0.134,0.142
286,1.401,0.133,0.143
287,1.411,0.133,0.145
288,1.436,0.135,0.140
289,1.417,0.140,0.143
290,1.441,0.134,0.139
291,1.402,0.137,0.145
292,1.462,0.134,0.139
293,1.399,0.136,0.139
294,1.427,0.135,0.143
295,1.435,0.130,0.141
296,1.412,0.139,0.149
297,1.426,0.134,0.143
298,1.432,0.133,0.143
299,1.423,0.138,0.141
