round,area,perbuilding,fixbuilding
81,1.380,0.128,0.141
82,1.407,0.131,0.135
83,1.378,0.128,0.138
84,1.368,0.128,0.141
85,1.416,0.126,0.144
86,1.365,0.128,0.137
87,1.374,0.129,0.141
88,1.397,0.127,0.141
89,1.380,0.127,0.133
90,1.425,0.128,0.136
91,1.384,0.129,0.142
92,1.378,0.134,0.146
93,1.386,0.131,0.137
94,1.388,0.129,0.134
95,1.391,0.129,0.138
96,1.371,0.126,0.147
97,1.410,0.126,0.141
98,1.362,0.125,0.141
99,1.413,0.127,0.139
100,1.373,0.135,0.136
101,1.358,0.135,0.139
102,1.389,0.130,0.141
103,1.403,0.126,0.142
104,1.388,0.126,0.143
105,1.486,0.127,0.141
106,1.379,0.127,0.138
107,1.340,0.126,0.148
108,1.382,0.128,0.135
109,1.424,0.128,0.140
110,1.356,0.130,0.147
111,1.370,0.126,0.142
112,1.342,0.128,0.144
113,1.372,0.129,0.140
114,1.367,0.126,0.138
115,1.378,0.128,0.135
116,1.375,0.128,0.138
117,1.399,0.126,0.137
118,1.330,0.132,0.133
119,1.391,0.129,0.138
120,1.429,0.128,0.137
121,1.391,0.130,0.143
122,1.420,0.126,0.144
123,1.381,0.127,0.131
124,1.387,0.129,0.136
125,1.399,0.128,0.139
126,1.388,0.130,0.134
127,1.381,0.127,0.143
128,1.395,0.128,0.135
129,1.377,0.127,0.139
130,1.389,0.127,0.142
131,1.354,0.129,0.135
132,1.386,0.128,0.136
133,1.378,0.134,0.140
134,1.378,0.126,0.143
135,1.381,0.129,0.142
136,1.401,0.126,0.143
137,1.387,0.129,0.143
138,1.383,0.127,0.147
139,1.384,0.127,0.138
140,1.364,0.128,0.135
141,1.376,0.130,0.139
142,1.329,0.126,0.139
143,1.346,0.128,0.141
144,1.385,0.132,0.134
145,1.376,0.129,0.137
146,1.380,0.127,0.137
147,1.374,0.128,0.142
148,1.386,0.125,0.143
149,1.407,0.126,0.143
150,1.377,0.127,0.145
151,1.401,0.128,0.142
152,1.370,0.126,0.138
153,1.430,0.126,0.139
154,1.325,0.126,0.138
155,1.382,0.127,0.133
156,1.358,0.128,0.138
157,1.409,0.127,0.136
158,1.436,0.127,0.137
159,1.369,0.130,0.141
160,1.387,0.128,0.138
161,1.408,0.129,0.142
162,1.374,0.131,0.139
163,1.356,0.126,0.145
164,1.358,0.133,0.143
165,1.373,0.126,0.141
166,1.386,0.124,0.139
167,1.347,0.127,0.143
168,1.378,0.127,0.134
169,1.389,0.128,0.136
170,1.394,0.126,0.136
171,1.400,0.127,0.138
172,1.426,0.129,0.142
173,1.397,0.129,0.141
174,1.414,0.127,0.139
175,1.387,0.129,0.144
176,1.395,0.127,0.137
177,1.388,0.127,0.138
178,1.406,0.126,0.136
179,1.381,0.130,0.147
180,1.372,0.126,0.142
181,1.406,0.128,0.138
182,1.404,0.128,0.140
183,1.415,0.130,0.144
184,1.362,0.125,0.139
185,1.394,0.130,0.137
186,1.385,0.127,0.137
187,1.309,0.128,0.137
188,1.407,0.131,0.138
189,1.382,0.127,0.142
190,1.397,0.129,0.143
191,1.374,0.128,0.145
192,1.394,0.128,0.137
193,1.381,0.130,0.139
194,1.350,0.129,0.137
195,1.378,0.132,0.142
196,1.394,0.125,0.144
197,1.380,0.128,0.139
198,1.395,0.132,0.139
199,1.372,0.131,0.146
200,1.369,0.128,0.142
201,1.398,0.128,0.138
202,1.414,0.126,0.144
203,1.390,0.130,0.135
204,1.380,0.128,0.140
205,1.374,0.128,0.140
206,1.432,0.127,0.139
207,1.377,0.127,0.140
208,1.379,0.128,0.145
209,1.368,0.127,0.139
210,1.416,0.129,0.142
211,1.398,0.126,0.147
212,1.410,0.127,0.134
213,1.382,0.130,0.139
214,1.375,0.131,0.135
215,1.368,0.128,0.141
216,1.382,0.126,0.147
217,1.410,0.126,0.138
218,1.383,0.130,0.139
219,1.389,0.127,0.136
220,1.407,0.129,0.140
221,1.372,0.129,0.141
222,1.408,0.127,0.137
223,1.377,0.126,0.141
224,1.396,0.129,0.135
225,1.444,0.127,0.137
226,1.352,0.128,0.136
227,1.379,0.127,0.142
228,1.367,0.133,0.141
229,1.361,0.126,0.133
230,1.359,0.133,0.136
231,1.376,0.127,0.139
232,1.405,0.128,0.136
233,1.409,0.127,0.136
234,1.378,0.128,0.138
235,1.387,0.133,0.137
236,1.324,0.128,0.145
237,1.418,0.126,0.137
238,1.443,0.127,0.139
239,1.415,0.130,0.131
240,1.398,0.128,0.141
241,1.410,0.134,0.144
242,1.397,0.129,0.137
243,1.398,0.127,0.140
244,1.416,0.127,0.143
245,1.415,0.129,0.143
246,1.414,0.130,0.138
247,1.347,0.130,0.135
248,1.363,0.125,0.141
249,1.382,0.129,0.139
250,1.398,0.128,0.140
251,1.398,0.127,0.132
252,1.386,0.128,0.134
253,1.401,0.129,0.140
254,1.369,0.128,0.137
255,1.386,0.129,0.140
256,1.353,0.127,0.143
257,1.396,0.132,0.143
258,1.388,0.129,0.136
259,1.355,0.132,0.139
260,1.327,0.126,0.139
261,1.404,0.129,0.144
262,1.439,0.126,0.144
263,1.374,0.128,0.142
264,1.367,0.128,0.136
265,1.345,0.130,0.145
266,1.369,0.130,0.133
267,1.386,0.127,0.140
268,1.377,0.129,0.140
269,1.390,0.128,0.140
270,1.384,0.127,0.138
271,1.351,0.129,0.138
272,1.391,0.130,0.136
273,1.385,0.127,0.141
274,1.410,0.127,0.139
275,1.345,0.126,0.143
276,1.379,0.128,0.139
277,1.381,0.132,0.138
278,1.398,0.129,0.137
279,1.385,0.128,0.146
280,1.398,0.129,0.136
281,1.456,0.128,0.137
282,1.378,0.125,0.139
283,1.385,0.127,0.142
284,1.385,0.127,0.142
285,1.392,0.127,0.138
286,1.382,0.129,0.139
287,1.384,0.131,0.140
288,1.383,0.130,0.137
289,1.381,0.125,0.140
290,1.395,0.129,0.138
291,1.385,0.131,0.137
292,1.391,0.126,0.139
293,1.388,0.127,0.142
294,1.386,0.129,0.142
295,1.388,0.126,0.136
296,1.394,0.127,0.145
297,1.392,0.127,0.143
298,1.397,0.131,0.145
299,1.409,0.127,0.140
