round,area,perbuilding,fixbuilding
0,1.606,0.145,0.137
1,1.373,0.123,0.139
2,1.351,0.128,0.138
3,1.324,0.129,0.139
4,1.356,0.126,0.140
5,1.352,0.126,0.139
6,1.338,0.128,0.139
7,1.361,0.129,0.141
8,1.430,0.125,0.140
9,1.360,0.128,0.140
10,1.352,0.127,0.141
11,1.343,0.128,0.140
12,1.387,0.125,0.142
13,1.374,0.126,0.141
14,1.417,0.125,0.143
15,1.423,0.127,0.137
16,1.354,0.128,0.137
17,1.348,0.126,0.138
18,1.435,0.124,0.139
19,1.411,0.128,0.142
20,1.358,0.124,0.143
21,1.371,0.131,0.136
22,1.418,0.130,0.140
23,1.363,0.127,0.143
24,1.364,0.128,0.135
25,1.340,0.127,0.141
26,1.388,0.130,0.137
27,1.369,0.129,0.142
28,1.412,0.126,0.141
29,1.308,0.128,0.137
30,1.352,0.128,0.142
31,1.353,0.130,0.136
32,1.360,0.132,0.144
33,1.387,0.126,0.140
34,1.400,0.128,0.137
35,1.349,0.130,0.142
36,1.376,0.127,0.139
37,1.380,0.128,0.141
38,1.378,0.127,0.139
39,1.389,0.126,0.140
40,1.354,0.127,0.143
41,1.382,0.128,0.140
42,1.414,0.125,0.140
43,1.379,0.128,0.143
44,1.388,0.124,0.134
45,1.405,0.130,0.141
46,1.390,0.129,0.140
47,1.386,0.127,0.144
48,1.364,0.128,0.138
49,1.405,0.129,0.138
50,1.364,0.126,0.143
51,1.393,0.130,0.143
52,1.433,0.129,0.135
53,1.449,0.126,0.142
54,1.360,0.126,0.137
55,1.427,0.126,0.141
56,1.391,0.128,0.138
57,1.388,0.125,0.141
58,1.374,0.128,0.141
59,1.400,0.129,0.146
60,1.419,0.124,0.142
61,1.383,0.129,0.139
62,1.388,0.126,0.138
63,1.375,0.127,0.144
64,1.386,0.127,0.141
65,1.380,0.128,0.139
66,1.363,0.126,0.143
67,1.410,0.128,0.138
68,1.379,0.128,0.135
69,1.424,0.127,0.143
70,1.360,0.128,0.141
71,1.406,0.132,0.139
72,1.368,0.129,0.136
73,1.404,0.128,0.140
74,1.383,0.129,0.138
75,1.440,0.126,0.142
76,1.390,0.127,0.135
77,1.370,0.127,0.136
78,1.383,0.134,0.136
79,1.369,0.128,0.139
80,1.430,0.128,0.145
