round,area,perbuilding,fixbuilding
0,1.666,0.151,0.141
1,1.483,0.132,0.154
2,1.460,0.134,0.148
3,1.455,0.138,0.144
4,1.484,0.131,0.145
5,1.460,0.133,0.149
6,1.483,0.136,0.145
7,1.452,0.131,0.148
8,1.442,0.132,0.146
9,1.498,0.133,0.144
10,1.410,0.132,0.148
11,1.434,0.133,0.147
12,1.442,0.135,0.148
13,1.477,0.134,0.144
14,1.450,0.132,0.148
15,1.460,0.131,0.147
16,1.455,0.131,0.143
17,1.439,0.131,0.140
18,1.442,0.130,0.147
19,1.442,0.130,0.145
20,1.461,0.130,0.143
21,1.444,0.130,0.146
22,1.452,0.135,0.137
23,1.451,0.132,0.147
24,1.404,0.131,0.145
25,1.392,0.132,0.140
26,1.469,0.132,0.147
27,1.454,0.129,0.142
28,1.449,0.129,0.147
29,1.468,0.134,0.145
30,1.442,0.128,0.142
31,1.438,0.132,0.147
32,1.469,0.132,0.140
33,1.467,0.132,0.144
34,1.456,0.132,0.146
35,1.458,0.133,0.143
36,1.449,0.131,0.142
37,1.438,0.131,0.146
38,1.445,0.135,0.147
39,1.444,0.134,0.143
40,1.438,0.137,0.144
41,1.388,0.137,0.143
42,1.442,0.131,0.144
43,1.436,0.129,0.143
44,1.455,0.129,0.144
45,1.458,0.132,0.140
46,1.451,0.135,0.145
47,1.456,0.131,0.145
48,1.472,0.133,0.149
49,1.429,0.130,0.146
50,1.475,0.130,0.138
51,1.463,0.130,0.141
52,1.451,0.132,0.146
53,1.428,0.131,0.141
54,1.432,0.128,0.144
55,1.463,0.135,0.140
56,1.429,0.134,0.146
57,1.459,0.132,0.143
58,1.440,0.132,0.144
59,1.468,0.133,0.136
60,1.382,0.131,0.140
61,1.449,0.137,0.144
62,1.466,0.134,0.139
63,1.434,0.132,0.143
64,1.445,0.130,0.138
65,1.470,0.133,0.146
66,1.466,0.133,0.145
67,1.439,0.132,0.144
68,1.457,0.132,0.146
69,1.470,0.130,0.142
70,1.451,0.137,0.146
71,1.463,0.135,0.149
72,1.452,0.131,0.147
73,1.446,0.135,0.144
74,1.421,0.131,0.147
75,1.465,0.133,0.148
76,1.458,0.129,0.146
77,1.411,0.132,0.139
78,1.442,0.133,0.141
79,1.447,0.131,0.135
80,1.441,0.131,0.139
81,1.476,0.134,0.145
82,1.485,0.131,0.140
83,1.435,0.131,0.146
84,1.462,0.132,0.143
85,1.429,0.134,0.146
86,1.466,0.131,0.147
87,1.463,0.132,0.144
88,1.456,0.129,0.147
89,1.459,0.128,0.143
90,1.429,0.132,0.135
91,1.435,0.133,0.137
92,1.440,0.130,0.147
93,1.472,0.135,0.143
94,1.468,0.138,0.144
95,1.479,0.131,0.142
96,1.404,0.130,0.138
97,1.441,0.131,0.139
98,1.462,0.131,0.139
99,1.486,0.133,0.144
100,1.452,0.135,0.139
101,1.454,0.129,0.143
102,1.456,0.133,0.145
103,1.455,0.135,0.147
104,1.472,0.130,0.139
105,1.451,0.130,0.138
106,1.463,0.132,0.142
107,1.454,0.131,0.139
108,1.440,0.132,0.142
109,1.464,0.134,0.140
110,1.398,0.134,0.140
111,1.434,0.134,0.141
112,1.458,0.135,0.147
113,1.407,0.135,0.146
114,1.445,0.130,0.145
115,1.406,0.130,0.142
116,1.434,0.132,0.139
117,1.465,0.136,0.138
118,1.446,0.134,0.139
119,1.404,0.131,0.141
120,1.456,0.135,0.145
121,1.492,0.135,0.150
122,1.444,0.132,0.141
123,1.421,0.139,0.139
124,1.460,0.134,0.138
125,1.421,0.130,0.143
126,1.478,0.133,0.143
127,1.443,0.135,0.149
128,1.471,0.131,0.145
129,1.458,0.135,0.142
130,1.456,0.132,0.144
131,1.462,0.131,0.144
132,1.484,0.134,0.143
133,1.478,0.130,0.144
134,1.453,0.135,0.146
135,1.434,0.132,0.148
136,1.446,0.132,0.137
137,1.451,0.131,0.145
138,1.464,0.131,0.140
139,1.477,0.134,0.141
140,1.354,0.132,0.143
141,1.432,0.132,0.141
142,1.386,0.131,0.140
143,1.472,0.133,0.146
144,1.470,0.131,0.142
145,1.469,0.134,0.144
146,1.448,0.130,0.149
147,1.466,0.127,0.144
148,1.458,0.129,0.140
149,1.464,0.130,0.144
150,1.458,0.130,0.145
151,1.465,0.133,0.138
152,1.470,0.131,0.146
153,1.457,0.130,0.145
154,1.459,0.129,0.143
155,1.403,0.132,0.140
156,1.456,0.128,0.141
157,1.437,0.135,0.144
158,1.439,0.133,0.140
159,1.389,0.132,0.146
160,1.448,0.132,0.148
161,1.456,0.136,0.146
162,1.438,0.129,0.137
163,1.396,0.131,0.142
164,1.456,0.129,0.148
165,1.448,0.132,0.142
166,1.445,0.131,0.141
167,1.462,0.131,0.139
168,1.425,0.131,0.136
169,1.444,0.132,0.144
170,1.455,0.132,0.140
171,1.456,0.131,0.138
172,1.415,0.137,0.138
173,1.464,0.131,0.140
174,1.461,0.128,0.139
175,1.449,0.129,0.138
176,1.469,0.133,0.145
177,1.456,0.133,0.142
178,1.503,0.133,0.145
179,1.447,0.128,0.143
180,1.497,0.129,0.145
181,1.448,0.131,0.144
182,1.473,0.130,0.138
183,1.413,0.136,0.137
184,1.467,0.133,0.140
185,1.445,0.136,0.146
186,1.485,0.130,0.146
187,1.445,0.129,0.146
188,1.468,0.130,0.146
189,1.426,0.129,0.143
190,1.403,0.136,0.144
191,1.469,0.131,0.142
192,1.464,0.132,0.149
193,1.457,0.131,0.145
194,1.458,0.131,0.145
195,1.461,0.132,0.140
196,1.343,0.131,0.143
197,1.474,0.135,0.140
198,1.483,0.133,0.141
199,1.477,0.133,0.142
200,1.464,0.135,0.144
201,1.444,0.131,0.147
202,1.451,0.130,0.148
203,1.448,0.129,0.143
204,1.453,0.132,0.138
205,1.414,0.130,0.140
206,1.443,0.130,0.140
207,1.466,0.136,0.140
208,1.455,0.129,0.142
209,1.457,0.130,0.145
210,1.469,0.133,0.146
211,1.466,0.130,0.145
212,1.455,0.131,0.143
213,1.466,0.131,0.142
214,1.477,0.130,0.139
215,1.402,0.130,0.135
216,1.484,0.133,0.140
217,1.461,0.135,0.142
218,1.430,0.133,0.144
219,1.417,0.130,0.144
220,1.452,0.131,0.139
221,1.457,0.131,0.148
222,1.464,0.129,0.146
223,1.470,0.131,0.144
224,1.449,0.131,0.142
225,1.423,0.133,0.147
226,1.443,0.135,0.145
227,1.473,0.132,0.141
228,1.381,0.133,0.139
229,1.492,0.131,0.141
230,1.448,0.132,0.141
231,1.453,0.134,0.140
232,1.474,0.132,0.145
233,1.436,0.129,0.149
234,1.490,0.132,0.145
235,1.467,0.132,0.137
236,1.421,0.131,0.139
237,1.388,0.129,0.139
238,1.454,0.133,0.141
239,1.462,0.136,0.150
240,1.435,0.134,0.144
241,1.463,0.130,0.139
242,1.456,0.131,0.139
243,1.422,0.133,0.140
244,1.482,0.131,0.139
245,1.484,0.133,0.140
246,1.461,0.135,0.144
247,1.436,0.134,0.141
248,1.448,0.134,0.142
249,1.455,0.129,0.139
250,1.449,0.133,0.141
251,1.485,0.130,0.138
252,1.430,0.130,0.141
253,1.464,0.136,0.145
254,1.465,0.132,0.144
255,1.440,0.127,0.145
256,1.482,0.127,0.144
257,1.459,0.130,0.148
258,1.470,0.129,0.139
259,1.372,0.131,0.140
260,1.457,0.132,0.139
261,1.468,0.129,0.140
262,1.417,0.129,0.140
263,1.505,0.133,0.144
264,1.470,0.132,0.146
265,1.442,0.131,0.142
266,1.431,0.134,0.140
267,1.405,0.133,0.144
268,1.445,0.129,0.143
269,1.472,0.136,0.147
270,1.471,0.130,0.139
271,1.452,0.129,0.141
272,1.471,0.130,0.145
273,1.484,0.135,0.146
274,1.446,0.131,0.151
275,1.440,0.130,0.149
276,1.448,0.131,0.147
277,1.441,0.132,0.141
278,1.405,0.131,0.143
279,1.455,0.129,0.145
280,1.456,0.129,0.145
281,1.471,0.128,0.143
282,1.473,0.131,0.144
283,1.466,0.131,0.140
284,1.385,0.127,0.142
285,1.480,0.135,0.135
286,1.451,0.131,0.148
287,1.481,0.130,0.148
288,1.451,0.134,0.140
289,1.452,0.131,0.146
290,1.461,0.131,0.139
291,1.440,0.136,0.145
292,1.452,0.133,0.142
293,1.404,0.135,0.142
294,1.416,0.130,0.140
295,1.470,0.128,0.139
296,1.446,0.131,0.148
297,1.465,0.130,0.145
298,1.446,0.131,0.143
299,1.484,0.128,0.147
