id,acc,pre,rec,f1s,iou
117,0.929487,0.938462,0.879808,0.908189,0.831818
118,0.652127,0.562044,0.405263,0.470948,0.308000
119,0.922179,0.834646,0.876033,0.854839,0.746479
120,0.519753,0.500000,0.050360,0.091503,0.047945
121,0.946509,0.888462,0.946721,0.916667,0.846154
122,0.951914,0.945652,0.920635,0.932976,0.874372
123,0.821056,0.792208,0.732000,0.760915,0.614094
124,0.943140,0.932692,0.910798,0.921615,0.854626
125,0.869500,0.827434,0.809524,0.818381,0.692593
126,0.842512,0.723077,0.774725,0.748011,0.597458
127,0.672667,0.612903,0.401408,0.485106,0.320225
128,0.970588,1.000000,0.941176,0.969697,0.941176
129,0.925217,0.921569,0.878505,0.899522,0.817391
130,0.725420,0.558824,0.666667,0.608000,0.436782
131,0.715554,0.835616,0.476562,0.606965,0.435714
132,0.884512,0.727749,0.852761,0.785311,0.646512
133,0.546729,1.000000,0.093458,0.170940,0.093458
134,0.823147,0.637931,0.787234,0.704762,0.544118
135,0.794928,0.699301,0.657895,0.677966,0.512821
136,0.939934,0.839041,0.968379,0.899083,0.816667
137,0.848854,0.899408,0.727273,0.804233,0.672566
138,0.954842,0.882943,0.977778,0.927944,0.865574
139,0.353906,0.000000,0.000000,0.000000,0.000000
140,0.966782,0.984674,0.941392,0.962547,0.927798
141,0.672248,0.529412,0.478723,0.502793,0.335821
142,0.971956,0.892377,0.985149,0.936471,0.880531
143,0.644826,0.495935,0.388535,0.435714,0.278539
144,0.877459,0.793220,0.873134,0.831261,0.711246
145,0.626769,0.534137,0.481884,0.506667,0.339286
146,0.841528,0.923664,0.699422,0.796053,0.661202
147,0.646697,0.589147,0.383838,0.464832,0.302789
148,0.821488,0.826531,0.704348,0.760563,0.613636
149,0.774644,0.882353,0.581897,0.701299,0.540000
150,0.562383,0.976190,0.126935,0.224658,0.126543
151,0.556884,0.700000,0.141700,0.235690,0.133588
152,0.770636,0.743243,0.604396,0.666667,0.500000
153,0.816594,0.894231,0.650350,0.753036,0.603896
154,0.975923,0.909091,0.990991,0.948276,0.901639
155,0.950412,0.835052,0.952941,0.890110,0.801980
156,0.869327,0.820755,0.805556,0.813084,0.685039
157,1.000000,1.000000,1.000000,1.000000,1.000000
158,0.580092,0.524217,0.538012,0.531025,0.361493
159,0.897771,0.771429,0.875676,0.820253,0.695279
160,0.926076,0.938272,0.868571,0.902077,0.821622
161,0.895994,0.823529,0.867257,0.844828,0.731343
162,0.876550,0.827751,0.816038,0.821853,0.697581
